10/9/2018
8:16:26 PM

0, CH+=0, CH-=199, Range=+/-10, y=a


Time	v0	y0
0.000000	0.198057	0.198057
0.010000	0.223360	0.223360
0.020000	0.258784	0.258784
0.030000	0.253723	0.253723
0.040000	0.243602	0.243602
0.050000	0.167694	0.167694
0.060000	0.081666	0.081666
0.070000	-0.024605	-0.024605
0.080000	-0.009424	-0.009424
0.090000	-0.125816	-0.125816
0.100000	-0.140997	-0.140997
0.110000	-0.146058	-0.146058
0.120000	-0.146058	-0.146058
0.130000	-0.146058	-0.146058
0.140000	-0.140997	-0.140997
0.150000	-0.130876	-0.130876
0.160000	-0.110634	-0.110634
0.170000	-0.100513	-0.100513
0.180000	-0.075210	-0.075210
0.190000	-0.095453	-0.095453
0.200000	-0.080271	-0.080271
0.210000	-0.065089	-0.065089
0.220000	-0.075210	-0.075210
0.230000	-0.075210	-0.075210
0.240000	-0.075210	-0.075210
0.250000	-0.065089	-0.065089
0.260000	-0.039787	-0.039787
0.270000	-0.049908	-0.049908
0.280000	0.000697	0.000697
0.290000	0.036121	0.036121
0.300000	0.036121	0.036121
0.310000	0.015879	0.015879
0.320000	-0.019545	-0.019545
0.330000	-0.054968	-0.054968
0.340000	-0.039787	-0.039787
0.350000	-0.065089	-0.065089
0.360000	-0.075210	-0.075210
0.370000	-0.070150	-0.070150
0.380000	-0.039787	-0.039787
0.390000	-0.100513	-0.100513
0.400000	-0.100513	-0.100513
0.410000	0.167694	0.167694
0.420000	0.835682	0.835682
0.430000	0.911590	0.911590
0.440000	0.446023	0.446023
0.450000	0.142392	0.142392
0.460000	0.010818	0.010818
0.470000	-0.075210	-0.075210
0.480000	-0.075210	-0.075210
0.490000	-0.090392	-0.090392
0.500000	-0.080271	-0.080271
0.510000	-0.085332	-0.085332
0.520000	-0.054968	-0.054968
0.530000	-0.054968	-0.054968
0.540000	-0.019545	-0.019545
0.550000	-0.044847	-0.044847
0.560000	0.005758	0.005758
0.570000	0.005758	0.005758
0.580000	0.031060	0.031060
0.590000	0.015879	0.015879
0.600000	0.117089	0.117089
0.610000	0.147452	0.147452
0.620000	0.177815	0.177815
0.630000	0.208178	0.208178
0.640000	0.253723	0.253723
0.650000	0.273965	0.273965
0.660000	0.299268	0.299268
0.670000	0.268905	0.268905
0.680000	0.223360	0.223360
0.690000	0.132271	0.132271
0.700000	0.051302	0.051302
0.710000	-0.024605	-0.024605
0.720000	-0.065089	-0.065089
0.730000	-0.110634	-0.110634
0.740000	-0.090392	-0.090392
0.750000	-0.140997	-0.140997
0.760000	-0.115695	-0.115695
0.770000	-0.100513	-0.100513
0.780000	-0.080271	-0.080271
0.790000	-0.095453	-0.095453
0.800000	-0.070150	-0.070150
0.810000	-0.065089	-0.065089
0.820000	-0.024605	-0.024605
0.830000	-0.060029	-0.060029
0.840000	-0.070150	-0.070150
