10/9/2018
8:11:28 PM

0, CH+=0, CH-=199, Range=+/-10, y=a
1, CH+=1, CH-=199, Range=+/-10, y=b
2, CH+=2, CH-=199, Range=+/-10, y=c
3, CH+=3, CH-=199, Range=+/-10, y=d


Time	v0	v1	v2	v3	y0	y1	y2	y3
0.000000	0.420720	1.409123	1.397926	1.403550	0.420720	1.409123	1.397926	1.403550
0.010000	0.198057	1.409123	1.408042	1.408613	0.198057	1.409123	1.408042	1.408613
0.020000	0.344812	1.409123	1.392868	1.408613	0.344812	1.409123	1.392868	1.408613
0.030000	0.081666	1.409123	1.408042	1.408613	0.081666	1.409123	1.408042	1.408613
0.040000	0.198057	1.409123	1.392868	1.408613	0.198057	1.409123	1.392868	1.408613
0.050000	-0.054968	1.409123	1.408042	1.408613	-0.054968	1.409123	1.408042	1.408613
0.060000	0.101908	1.409123	1.402984	1.408613	0.101908	1.409123	1.402984	1.408613
0.070000	-0.135937	1.414190	1.402984	1.413677	-0.135937	1.414190	1.402984	1.413677
0.080000	0.036121	1.409123	1.402984	1.408613	0.036121	1.409123	1.402984	1.408613
0.090000	-0.161239	1.409123	1.397926	1.413677	-0.161239	1.409123	1.397926	1.413677
0.100000	0.010818	1.409123	1.402984	1.403550	0.010818	1.409123	1.402984	1.403550
0.110000	-0.171360	1.414190	1.408042	1.413677	-0.171360	1.414190	1.408042	1.413677
0.120000	0.010818	1.409123	1.397926	1.403550	0.010818	1.409123	1.397926	1.403550
0.130000	-0.161239	1.409123	1.402984	1.408613	-0.161239	1.409123	1.402984	1.408613
0.140000	0.031060	1.409123	1.402984	1.403550	0.031060	1.409123	1.402984	1.403550
0.150000	-0.151118	1.409123	1.402984	1.408613	-0.151118	1.409123	1.402984	1.408613
0.160000	0.041181	1.409123	1.402984	1.408613	0.041181	1.409123	1.402984	1.408613
0.170000	-0.130876	1.409123	1.397926	1.408613	-0.130876	1.409123	1.397926	1.408613
0.180000	0.066484	1.409123	1.397926	1.408613	0.066484	1.409123	1.397926	1.408613
0.190000	-0.105574	1.409123	1.397926	1.413677	-0.105574	1.409123	1.397926	1.413677
0.200000	0.091787	1.409123	1.402984	1.403550	0.091787	1.409123	1.402984	1.403550
0.210000	-0.095453	1.414190	1.408042	1.403550	-0.095453	1.414190	1.408042	1.403550
0.220000	0.091787	1.414190	1.408042	1.403550	0.091787	1.414190	1.408042	1.403550
0.230000	-0.100513	1.409123	1.402984	1.408613	-0.100513	1.409123	1.402984	1.408613
0.240000	0.071545	1.409123	1.402984	1.403550	0.071545	1.409123	1.402984	1.403550
0.250000	-0.095453	1.409123	1.402984	1.408613	-0.095453	1.409123	1.402984	1.408613
0.260000	0.086726	1.409123	1.402984	1.403550	0.086726	1.409123	1.402984	1.403550
0.270000	-0.100513	1.409123	1.402984	1.408613	-0.100513	1.409123	1.402984	1.408613
0.280000	0.081666	1.409123	1.397926	1.408613	0.081666	1.409123	1.397926	1.408613
0.290000	-0.110634	1.409123	1.408042	1.408613	-0.110634	1.409123	1.408042	1.408613
0.300000	0.066484	1.409123	1.397926	1.408613	0.066484	1.409123	1.397926	1.408613
0.310000	-0.115695	1.409123	1.408042	1.408613	-0.115695	1.409123	1.408042	1.408613
0.320000	0.051302	1.409123	1.397926	1.403550	0.051302	1.409123	1.397926	1.403550
0.330000	-0.110634	1.414190	1.402984	1.408613	-0.110634	1.414190	1.402984	1.408613
0.340000	0.066484	1.409123	1.397926	1.408613	0.066484	1.409123	1.397926	1.408613
0.350000	-0.105574	1.414190	1.402984	1.413677	-0.105574	1.414190	1.402984	1.413677
0.360000	0.061423	1.414190	1.402984	1.408613	0.061423	1.414190	1.402984	1.408613
0.370000	-0.110634	1.409123	1.408042	1.408613	-0.110634	1.409123	1.408042	1.408613
0.380000	0.056363	1.409123	1.402984	1.403550	0.056363	1.409123	1.402984	1.403550
0.390000	-0.085332	1.409123	1.402984	1.408613	-0.085332	1.409123	1.402984	1.408613
0.400000	0.096847	1.409123	1.402984	1.408613	0.096847	1.409123	1.402984	1.408613
0.410000	-0.085332	1.409123	1.402984	1.408613	-0.085332	1.409123	1.402984	1.408613
