10/9/2018
8:13:21 PM

0, CH+=0, CH-=199, Range=+/-10, y=a


Time	v0	y0
0.000000	0.041181	0.041181
0.010000	0.096847	0.096847
0.020000	0.041181	0.041181
0.030000	0.106968	0.106968
0.040000	0.051302	0.051302
0.050000	0.112029	0.112029
0.060000	0.051302	0.051302
0.070000	0.101908	0.101908
0.080000	0.041181	0.041181
0.090000	0.081666	0.081666
0.100000	0.041181	0.041181
0.110000	0.106968	0.106968
0.120000	0.041181	0.041181
0.130000	0.081666	0.081666
0.140000	0.015879	0.015879
0.150000	0.036121	0.036121
0.160000	0.000697	0.000697
0.170000	0.046242	0.046242
0.180000	-0.009424	-0.009424
0.190000	0.051302	0.051302
0.200000	0.015879	0.015879
0.210000	0.071545	0.071545
0.220000	0.026000	0.026000
0.230000	0.091787	0.091787
0.240000	0.036121	0.036121
0.250000	0.101908	0.101908
0.260000	0.005758	0.005758
0.270000	0.020939	0.020939
0.280000	-0.004363	-0.004363
0.290000	0.446023	0.446023
0.300000	0.268905	0.268905
0.310000	0.172755	0.172755
0.320000	0.132271	0.132271
0.330000	0.137331	0.137331
0.340000	0.036121	0.036121
0.350000	0.076605	0.076605
0.360000	-0.004363	-0.004363
0.370000	0.051302	0.051302
0.380000	-0.014484	-0.014484
0.390000	0.046242	0.046242
0.400000	-0.019545	-0.019545
0.410000	0.046242	0.046242
0.420000	-0.034726	-0.034726
0.430000	0.046242	0.046242
0.440000	-0.029666	-0.029666
0.450000	0.036121	0.036121
0.460000	-0.034726	-0.034726
0.470000	0.015879	0.015879
0.480000	-0.049908	-0.049908
0.490000	0.000697	0.000697
0.500000	-0.075210	-0.075210
0.510000	-0.019545	-0.019545
0.520000	-0.095453	-0.095453
0.530000	-0.044847	-0.044847
0.540000	-0.095453	-0.095453
0.550000	-0.004363	-0.004363
0.560000	-0.019545	-0.019545
0.570000	0.112029	0.112029
0.580000	0.051302	0.051302
0.590000	0.137331	0.137331
0.600000	0.056363	0.056363
0.610000	0.132271	0.132271
0.620000	0.046242	0.046242
0.630000	0.127210	0.127210
0.640000	0.051302	0.051302
0.650000	0.127210	0.127210
0.660000	0.036121	0.036121
0.670000	0.132271	0.132271
