9/18/2018
2:32:13 PM

0, CH+=0, CH-=199, Range=+/-10, y=a


Time	v0	y0
0.000000	-0.105574	-0.105574
0.010000	0.041181	0.041181
0.020000	-0.039787	-0.039787
0.030000	0.117089	0.117089
0.040000	0.005758	0.005758
0.050000	0.137331	0.137331
0.060000	0.066484	0.066484
0.070000	0.203118	0.203118
0.080000	0.142392	0.142392
0.090000	0.268905	0.268905
0.100000	0.238542	0.238542
0.110000	0.354933	0.354933
0.120000	0.309389	0.309389
0.130000	0.461204	0.461204
0.140000	0.410599	0.410599
0.150000	0.526991	0.526991
0.160000	0.466265	0.466265
0.170000	0.547233	0.547233
0.180000	0.405539	0.405539
0.190000	0.375175	0.375175
0.200000	0.127210	0.127210
0.210000	0.041181	0.041181
0.220000	-0.161239	-0.161239
0.230000	-0.156179	-0.156179
0.240000	-0.292813	-0.292813
0.250000	-0.232086	-0.232086
0.260000	-0.338357	-0.338357
0.270000	-0.232086	-0.232086
0.280000	-0.318115	-0.318115
0.290000	-0.252329	-0.252329
0.300000	-0.318115	-0.318115
0.310000	-0.211844	-0.211844
0.320000	-0.297873	-0.297873
0.330000	-0.216905	-0.216905
0.340000	-0.292813	-0.292813
0.350000	-0.201723	-0.201723
0.360000	-0.287752	-0.287752
0.370000	-0.201723	-0.201723
0.380000	-0.282692	-0.282692
0.390000	-0.227026	-0.227026
0.400000	-0.313055	-0.313055
0.410000	-0.252329	-0.252329
0.420000	-0.323176	-0.323176
0.430000	-0.272571	-0.272571
0.440000	-0.323176	-0.323176
0.450000	-0.267510	-0.267510
0.460000	-0.343418	-0.343418
0.470000	-0.282692	-0.282692
0.480000	-0.343418	-0.343418
0.490000	-0.277631	-0.277631
0.500000	-0.343418	-0.343418
0.510000	-0.257389	-0.257389
0.520000	-0.343418	-0.343418
0.530000	-0.272571	-0.272571
0.540000	-0.358599	-0.358599
0.550000	-0.297873	-0.297873
0.560000	-0.353539	-0.353539
0.570000	-0.307994	-0.307994
0.580000	-0.368720	-0.368720
0.590000	-0.338357	-0.338357
0.600000	-0.383902	-0.383902
0.610000	-0.358599	-0.358599
0.620000	-0.409205	-0.409205
0.630000	-0.394023	-0.394023
0.640000	-0.409205	-0.409205
0.650000	-0.388962	-0.388962
0.660000	-0.419326	-0.419326
0.670000	-0.383902	-0.383902
0.680000	-0.429447	-0.429447
0.690000	-0.368720	-0.368720
0.700000	-0.419326	-0.419326
0.710000	-0.368720	-0.368720
0.720000	-0.394023	-0.394023
0.730000	-0.338357	-0.338357
0.740000	-0.343418	-0.343418
0.750000	-0.277631	-0.277631
0.760000	-0.272571	-0.272571
0.770000	-0.166300	-0.166300
0.780000	-0.120755	-0.120755
0.790000	-0.085332	-0.085332
0.800000	-0.105574	-0.105574
0.810000	-0.075210	-0.075210
0.820000	-0.146058	-0.146058
0.830000	-0.201723	-0.201723
0.840000	-0.252329	-0.252329
0.850000	-0.211844	-0.211844
0.860000	-0.252329	-0.252329
0.870000	-0.206784	-0.206784
0.880000	-0.196663	-0.196663
0.890000	0.329631	0.329631
0.900000	1.200040	1.200040
0.910000	0.952074	0.952074
0.920000	-0.216905	-0.216905
0.930000	-0.505354	-0.505354
0.940000	-0.388962	-0.388962
0.950000	-0.272571	-0.272571
0.960000	-0.237147	-0.237147
0.970000	-0.186542	-0.186542
0.980000	-0.171360	-0.171360
0.990000	-0.130876	-0.130876
1.000000	-0.105574	-0.105574
1.010000	-0.080271	-0.080271
1.020000	-0.060029	-0.060029
1.030000	-0.034726	-0.034726
1.040000	-0.009424	-0.009424
1.050000	0.020939	0.020939
1.060000	0.066484	0.066484
1.070000	0.112029	0.112029
1.080000	0.162634	0.162634
1.090000	0.228421	0.228421
1.100000	0.268905	0.268905
1.110000	0.329631	0.329631
1.120000	0.415660	0.415660
1.130000	0.456144	0.456144
1.140000	0.521930	0.521930
1.150000	0.491567	0.491567
1.160000	0.501688	0.501688
1.170000	0.456144	0.456144
1.180000	0.329631	0.329631
1.190000	0.177815	0.177815
1.200000	0.096847	0.096847
1.210000	-0.034726	-0.034726
1.220000	-0.070150	-0.070150
1.230000	-0.140997	-0.140997
1.240000	-0.105574	-0.105574
1.250000	-0.125816	-0.125816
1.260000	-0.115695	-0.115695
1.270000	-0.135937	-0.135937
1.280000	-0.085332	-0.085332
1.290000	-0.105574	-0.105574
1.300000	-0.060029	-0.060029
1.310000	-0.095453	-0.095453
1.320000	-0.039787	-0.039787
1.330000	-0.075210	-0.075210
1.340000	-0.034726	-0.034726
1.350000	-0.070150	-0.070150
1.360000	-0.029666	-0.029666
1.370000	-0.065089	-0.065089
1.380000	-0.039787	-0.039787
1.390000	-0.105574	-0.105574
1.400000	-0.039787	-0.039787
1.410000	-0.085332	-0.085332
1.420000	-0.060029	-0.060029
1.430000	-0.120755	-0.120755
1.440000	-0.070150	-0.070150
1.450000	-0.125816	-0.125816
1.460000	-0.070150	-0.070150
1.470000	-0.120755	-0.120755
1.480000	-0.065089	-0.065089
1.490000	-0.135937	-0.135937
1.500000	-0.085332	-0.085332
1.510000	-0.161239	-0.161239
1.520000	-0.070150	-0.070150
1.530000	-0.156179	-0.156179
1.540000	-0.100513	-0.100513
1.550000	-0.156179	-0.156179
1.560000	-0.100513	-0.100513
1.570000	-0.171360	-0.171360
