10/30/2018
7:46:33 PM

0, CH+=0, CH-=199, Range=+/-10, y=a
1, CH+=1, CH-=199, Range=+/-10, y=b


Time	v0	v1	y0	y1
0.000000	1.389462	-0.517380	1.389462	-0.517380
0.010000	1.394546	-0.563176	1.394546	-0.563176
0.020000	1.389462	-0.624237	1.389462	-0.624237
0.030000	1.394546	-0.670033	1.394546	-0.670033
0.040000	1.394546	-0.710741	1.394546	-0.710741
0.050000	1.399630	-0.797245	1.399630	-0.797245
0.060000	1.389462	-0.761626	1.389462	-0.761626
0.070000	1.394546	-0.751449	1.394546	-0.751449
0.080000	1.389462	-0.700564	1.389462	-0.700564
0.090000	1.394546	-0.563176	1.394546	-0.563176
0.100000	1.394546	-0.522468	1.394546	-0.522468
0.110000	1.394546	-0.456318	1.394546	-0.456318
0.120000	1.394546	-0.288399	1.394546	-0.288399
0.130000	1.394546	-0.252779	1.394546	-0.252779
0.140000	1.389462	-0.156099	1.389462	-0.156099
0.150000	1.394546	-0.135745	1.394546	-0.135745
0.160000	1.394546	-0.079772	1.394546	-0.079772
0.170000	1.389462	-0.079772	1.389462	-0.079772
0.180000	1.394546	-0.033975	1.394546	-0.033975
0.190000	1.394546	-0.084860	1.394546	-0.084860
0.200000	1.394546	-0.115391	1.394546	-0.115391
0.210000	1.394546	-0.135745	1.394546	-0.135745
0.220000	1.389462	-0.191718	1.389462	-0.191718
0.230000	1.389462	-0.206983	1.389462	-0.206983
0.240000	1.394546	-0.303664	1.394546	-0.303664
0.250000	1.394546	-0.339283	1.394546	-0.339283
0.260000	1.394546	-0.318929	1.394546	-0.318929
0.270000	1.394546	-0.390168	1.394546	-0.390168
0.280000	1.394546	-0.385079	1.394546	-0.385079
0.290000	1.394546	-0.354549	1.394546	-0.354549
0.300000	1.394546	-0.379991	1.394546	-0.379991
0.310000	1.389462	-0.374903	1.389462	-0.374903
0.320000	1.394546	-0.344372	1.394546	-0.344372
0.330000	1.389462	-0.278222	1.389462	-0.278222
0.340000	1.394546	-0.186629	1.394546	-0.186629
0.350000	1.389462	-0.212072	1.389462	-0.212072
0.360000	1.394546	-0.181541	1.394546	-0.181541
0.370000	1.394546	-0.145922	1.394546	-0.145922
0.380000	1.389462	-0.135745	1.389462	-0.135745
0.390000	1.389462	-0.059418	1.389462	-0.059418
0.400000	1.394546	-0.089949	1.394546	-0.089949
0.410000	1.389462	-0.074683	1.389462	-0.074683
0.420000	1.389462	-0.039064	1.389462	-0.039064
0.430000	1.389462	0.001644	1.389462	0.001644
0.440000	1.389462	0.032175	1.389462	0.032175
0.450000	1.394546	0.032175	1.394546	0.032175
0.460000	1.394546	0.001644	1.394546	0.001644
0.470000	1.394546	0.047440	1.394546	0.047440
0.480000	1.394546	0.052528	1.394546	0.052528
0.490000	1.389462	0.021998	1.389462	0.021998
0.500000	1.394546	0.027086	1.394546	0.027086
0.510000	1.399630	0.016909	1.399630	0.016909
0.520000	1.394546	-0.013622	1.394546	-0.013622
0.530000	1.394546	0.032175	1.394546	0.032175
0.540000	1.394546	-0.044152	1.394546	-0.044152
0.550000	1.394546	-0.013622	1.394546	-0.013622
0.560000	1.394546	-0.039064	1.394546	-0.039064
0.570000	1.394546	-0.028887	1.394546	-0.028887
0.580000	1.389462	-0.054329	1.389462	-0.054329
0.590000	1.394546	-0.039064	1.394546	-0.039064
0.600000	1.389462	-0.049241	1.389462	-0.049241
0.610000	1.389462	-0.028887	1.389462	-0.028887
0.620000	1.394546	-0.059418	1.394546	-0.059418
0.630000	1.389462	-0.049241	1.389462	-0.049241
0.640000	1.394546	0.001644	1.394546	0.001644
0.650000	1.394546	-0.044152	1.394546	-0.044152
0.660000	1.394546	-0.008533	1.394546	-0.008533
0.670000	1.394546	-0.023799	1.394546	-0.023799
0.680000	1.394546	0.001644	1.394546	0.001644
0.690000	1.394546	-0.018710	1.394546	-0.018710
0.700000	1.394546	-0.039064	1.394546	-0.039064
0.710000	1.389462	-0.079772	1.389462	-0.079772
0.720000	1.394546	-0.151010	1.394546	-0.151010
0.730000	1.384378	-0.100126	1.384378	-0.100126
0.740000	1.394546	-0.074683	1.394546	-0.074683
0.750000	1.389462	-0.064506	1.389462	-0.064506
0.760000	1.394546	0.011821	1.394546	0.011821
0.770000	1.389462	0.184828	1.389462	0.184828
0.780000	1.394546	0.530844	1.394546	0.530844
0.790000	1.394546	0.978629	1.394546	0.978629
0.800000	1.394546	1.416237	1.394546	1.416237
0.810000	1.389462	1.894552	1.389462	1.894552
0.820000	1.394546	2.220214	1.394546	2.220214
0.830000	1.394546	2.489902	1.394546	2.489902
0.840000	1.389462	2.622202	1.389462	2.622202
0.850000	1.389462	2.642556	1.389462	2.642556
0.860000	1.394546	2.301629	1.394546	2.301629
0.870000	1.389462	1.955614	1.389462	1.955614
0.880000	1.389462	1.589244	1.389462	1.589244
0.890000	1.389462	1.217787	1.389462	1.217787
0.900000	1.394546	0.861594	1.394546	0.861594
0.910000	1.389462	0.525755	1.389462	0.525755
0.920000	1.389462	0.256067	1.389462	0.256067
0.930000	1.394546	0.011821	1.394546	0.011821
0.940000	1.389462	-0.130656	1.389462	-0.130656
0.950000	1.394546	-0.283310	1.394546	-0.283310
0.960000	1.394546	-0.435964	1.394546	-0.435964
0.970000	1.394546	-0.542822	1.394546	-0.542822
0.980000	1.389462	-0.649680	1.389462	-0.649680
0.990000	1.389462	-0.659856	1.389462	-0.659856
1.000000	1.389462	-0.710741	1.389462	-0.710741
1.010000	1.394546	-0.848130	1.394546	-0.848130
1.020000	1.394546	-0.878660	1.394546	-0.878660
1.030000	1.389462	-0.924457	1.389462	-0.924457
1.040000	1.394546	-0.853218	1.394546	-0.853218
1.050000	1.389462	-0.822687	1.389462	-0.822687
1.060000	1.394546	-0.705653	1.394546	-0.705653
1.070000	1.394546	-0.547910	1.394546	-0.547910
1.080000	1.394546	-0.451229	1.394546	-0.451229
1.090000	1.394546	-0.344372	1.394546	-0.344372
1.100000	1.389462	-0.237514	1.389462	-0.237514
1.110000	1.394546	-0.171364	1.394546	-0.171364
1.120000	1.394546	-0.105214	1.394546	-0.105214
1.130000	1.389462	-0.069595	1.389462	-0.069595
1.140000	1.389462	-0.039064	1.389462	-0.039064
1.150000	1.399630	-0.049241	1.399630	-0.049241
1.160000	1.389462	-0.069595	1.389462	-0.069595
1.170000	1.394546	-0.095037	1.394546	-0.095037
1.180000	1.394546	-0.145922	1.394546	-0.145922
1.190000	1.389462	-0.156099	1.389462	-0.156099
1.200000	1.394546	-0.206983	1.394546	-0.206983
1.210000	1.389462	-0.298576	1.389462	-0.298576
1.220000	1.394546	-0.313841	1.394546	-0.313841
1.230000	1.394546	-0.364726	1.394546	-0.364726
1.240000	1.389462	-0.395256	1.389462	-0.395256
1.250000	1.389462	-0.369814	1.389462	-0.369814
1.260000	1.389462	-0.405433	1.389462	-0.405433
1.270000	1.394546	-0.405433	1.394546	-0.405433
1.280000	1.394546	-0.369814	1.394546	-0.369814
1.290000	1.394546	-0.349460	1.394546	-0.349460
1.300000	1.394546	-0.339283	1.394546	-0.339283
1.310000	1.394546	-0.293487	1.394546	-0.293487
1.320000	1.394546	-0.242602	1.394546	-0.242602
1.330000	1.394546	-0.252779	1.394546	-0.252779
1.340000	1.389462	-0.212072	1.389462	-0.212072
1.350000	1.394546	-0.181541	1.394546	-0.181541
1.360000	1.394546	-0.095037	1.394546	-0.095037
1.370000	1.399630	-0.100126	1.399630	-0.100126
1.380000	1.394546	-0.054329	1.394546	-0.054329
1.390000	1.389462	-0.049241	1.389462	-0.049241
1.400000	1.394546	-0.033975	1.394546	-0.033975
1.410000	1.389462	-0.023799	1.389462	-0.023799
1.420000	1.394546	0.016909	1.394546	0.016909
1.430000	1.394546	0.016909	1.394546	0.016909
1.440000	1.399630	0.011821	1.399630	0.011821
1.450000	1.394546	0.006732	1.394546	0.006732
