10/30/2018
7:51:26 PM

0, CH+=0, CH-=199, Range=+/-10, y=a
1, CH+=1, CH-=199, Range=+/-10, y=b


Time	v0	v1	y0	y1
0.000000	1.394546	0.077971	1.394546	0.077971
0.010000	1.394546	0.032175	1.394546	0.032175
0.020000	1.394546	0.011821	1.394546	0.011821
0.030000	1.389462	0.042351	1.389462	0.042351
0.040000	1.394546	0.088148	1.394546	0.088148
0.050000	1.394546	0.123767	1.394546	0.123767
0.060000	1.389462	0.077971	1.389462	0.077971
0.070000	1.394546	0.159386	1.394546	0.159386
0.080000	1.389462	0.200094	1.389462	0.200094
0.090000	1.394546	0.312040	1.394546	0.312040
0.100000	1.389462	0.500313	1.389462	0.500313
0.110000	1.394546	0.546109	1.394546	0.546109
0.120000	1.394546	0.729294	1.394546	0.729294
0.130000	1.394546	0.831063	1.394546	0.831063
0.140000	1.394546	0.963363	1.394546	0.963363
0.150000	1.389462	1.090575	1.389462	1.090575
0.160000	1.394546	1.584156	1.394546	1.584156
0.170000	1.399630	1.945437	1.399630	1.945437
0.180000	1.394546	2.098091	1.394546	2.098091
0.190000	1.389462	2.393222	1.389462	2.393222
0.200000	1.394546	2.439018	1.394546	2.439018
0.210000	1.394546	2.479725	1.394546	2.479725
0.220000	1.389462	2.454283	1.389462	2.454283
0.230000	1.394546	2.474637	1.394546	2.474637
0.240000	1.394546	2.367779	1.394546	2.367779
0.250000	1.394546	2.235479	1.394546	2.235479
0.260000	1.394546	1.975968	1.394546	1.975968
0.270000	1.394546	1.685925	1.394546	1.685925
0.280000	1.394546	1.334821	1.394546	1.334821
0.290000	1.389462	0.973540	1.389462	0.973540
0.300000	1.389462	0.647879	1.389462	0.647879
0.310000	1.394546	0.373102	1.394546	0.373102
0.320000	1.394546	0.195005	1.394546	0.195005
0.330000	1.394546	0.067794	1.394546	0.067794
0.340000	1.394546	-0.013622	1.394546	-0.013622
0.350000	1.389462	0.032175	1.389462	0.032175
0.360000	1.394546	0.011821	1.394546	0.011821
0.370000	1.394546	0.021998	1.394546	0.021998
0.380000	1.394546	-0.049241	1.394546	-0.049241
0.390000	1.389462	0.006732	1.389462	0.006732
0.400000	1.389462	-0.069595	1.389462	-0.069595
0.410000	1.394546	-0.100126	1.394546	-0.100126
0.420000	1.394546	-0.110302	1.394546	-0.110302
0.430000	1.389462	-0.079772	1.389462	-0.079772
0.440000	1.394546	-0.044152	1.394546	-0.044152
0.450000	1.394546	0.011821	1.394546	0.011821
0.460000	1.394546	-0.044152	1.394546	-0.044152
0.470000	1.389462	0.001644	1.389462	0.001644
0.480000	1.394546	0.021998	1.394546	0.021998
0.490000	1.389462	0.057617	1.389462	0.057617
0.500000	1.394546	0.052528	1.394546	0.052528
0.510000	1.394546	0.062705	1.394546	0.062705
0.520000	1.394546	0.021998	1.394546	0.021998
0.530000	1.394546	0.195005	1.394546	0.195005
0.540000	1.389462	0.500313	1.389462	0.500313
0.550000	1.389462	0.851417	1.389462	0.851417
0.560000	1.389462	1.833491	1.389462	1.833491
0.570000	1.389462	2.545875	1.389462	2.545875
0.580000	1.394546	3.120872	1.394546	3.120872
0.590000	1.394546	3.487241	1.394546	3.487241
0.600000	1.394546	3.807814	1.394546	3.807814
0.610000	1.394546	4.062238	1.394546	4.062238
0.620000	1.394546	4.321749	1.394546	4.321749
0.630000	1.394546	4.464226	1.394546	4.464226
0.640000	1.394546	4.565995	1.394546	4.565995
0.650000	1.394546	4.443872	1.394546	4.443872
0.660000	1.394546	4.143653	1.394546	4.143653
0.670000	1.389462	3.741664	1.389462	3.741664
0.680000	1.389462	3.176845	1.389462	3.176845
0.690000	1.394546	2.673087	1.394546	2.673087
0.700000	1.399630	2.138798	1.399630	2.138798
0.710000	1.394546	1.665571	1.394546	1.665571
0.720000	1.389462	1.151636	1.389462	1.151636
0.730000	1.389462	0.820886	1.389462	0.820886
0.740000	1.394546	0.520667	1.394546	0.520667
0.750000	1.389462	0.296775	1.389462	0.296775
0.760000	1.394546	0.113590	1.394546	0.113590
0.770000	1.394546	0.016909	1.394546	0.016909
0.780000	1.394546	-0.130656	1.394546	-0.130656
0.790000	1.394546	-0.191718	1.394546	-0.191718
0.800000	1.394546	-0.268045	1.394546	-0.268045
0.810000	1.394546	-0.303664	1.394546	-0.303664
0.820000	1.399630	-0.313841	1.399630	-0.313841
0.830000	1.389462	-0.334195	1.389462	-0.334195
0.840000	1.394546	-0.369814	1.394546	-0.369814
0.850000	1.394546	-0.354549	1.394546	-0.354549
0.860000	1.389462	-0.369814	1.389462	-0.369814
0.870000	1.394546	-0.176452	1.394546	-0.176452
0.880000	1.389462	-0.064506	1.389462	-0.064506
0.890000	1.394546	0.001644	1.394546	0.001644
0.900000	1.394546	0.032175	1.394546	0.032175
0.910000	1.394546	-0.013622	1.394546	-0.013622
0.920000	1.399630	-0.125568	1.399630	-0.125568
0.930000	1.394546	0.159386	1.394546	0.159386
0.940000	1.389462	0.642790	1.389462	0.642790
0.950000	1.394546	1.436590	1.394546	1.436590
0.960000	1.394546	2.530610	1.394546	2.530610
0.970000	1.389462	3.670426	1.389462	3.670426
0.980000	1.394546	4.504934	1.394546	4.504934
0.990000	1.394546	5.217319	1.394546	5.217319
1.000000	1.394546	5.833023	1.394546	5.833023
1.010000	1.399630	6.362223	1.399630	6.362223
1.020000	1.394546	6.871069	1.394546	6.871069
1.030000	1.389462	7.115316	1.389462	7.115316
1.040000	1.389462	7.003369	1.389462	7.003369
1.050000	1.389462	6.611558	1.389462	6.611558
1.060000	1.389462	5.944969	1.389462	5.944969
1.070000	1.389462	5.156257	1.389462	5.156257
1.080000	1.394546	4.296307	1.394546	4.296307
