10/30/2018
7:56:31 PM

0, CH+=0, CH-=199, Range=+/-10, y=a
1, CH+=1, CH-=199, Range=+/-10, y=b


Time	v0	v1	y0	y1
0.000000	1.394546	-0.700564	1.394546	-0.700564
0.010000	1.394546	-0.670033	1.394546	-0.670033
0.020000	1.399630	-0.700564	1.399630	-0.700564
0.030000	1.389462	-0.746360	1.389462	-0.746360
0.040000	1.389462	-0.720918	1.389462	-0.720918
0.050000	1.394546	-0.685299	1.394546	-0.685299
0.060000	1.394546	-0.680210	1.394546	-0.680210
0.070000	1.394546	-0.629326	1.394546	-0.629326
0.080000	1.389462	-0.583530	1.389462	-0.583530
0.090000	1.389462	-0.578441	1.389462	-0.578441
0.100000	1.394546	-0.578441	1.394546	-0.578441
0.110000	1.399630	-0.507203	1.399630	-0.507203
0.120000	1.394546	-0.491937	1.394546	-0.491937
0.130000	1.394546	-0.446141	1.394546	-0.446141
0.140000	1.389462	-0.466495	1.389462	-0.466495
0.150000	1.389462	-0.405433	1.389462	-0.405433
0.160000	1.394546	-0.278222	1.394546	-0.278222
0.170000	1.394546	-0.059418	1.394546	-0.059418
0.180000	1.394546	0.174652	1.394546	0.174652
0.190000	1.389462	0.495225	1.389462	0.495225
0.200000	1.389462	0.912479	1.389462	0.912479
0.210000	1.389462	1.161813	1.389462	1.161813
0.220000	1.394546	1.385706	1.394546	1.385706
0.230000	1.394546	1.421325	1.394546	1.421325
0.240000	1.394546	1.350087	1.394546	1.350087
0.250000	1.389462	1.334821	1.389462	1.334821
0.260000	1.394546	1.319556	1.394546	1.319556
0.270000	1.394546	1.202521	1.394546	1.202521
0.280000	1.389462	1.177079	1.389462	1.177079
0.290000	1.389462	1.105840	1.389462	1.105840
0.300000	1.389462	1.014248	1.389462	1.014248
0.310000	1.394546	0.968452	1.394546	0.968452
0.320000	1.394546	0.948098	1.394546	0.948098
0.330000	1.389462	0.836152	1.389462	0.836152
0.340000	1.394546	0.734382	1.394546	0.734382
0.350000	1.394546	0.668232	1.394546	0.668232
0.360000	1.394546	0.678409	1.394546	0.678409
0.370000	1.394546	0.535932	1.394546	0.535932
0.380000	1.394546	0.413809	1.394546	0.413809
0.390000	1.394546	0.322217	1.394546	0.322217
0.400000	1.394546	0.205182	1.394546	0.205182
0.410000	1.389462	0.072882	1.389462	0.072882
0.420000	1.394546	-0.023799	1.394546	-0.023799
0.430000	1.389462	-0.135745	1.389462	-0.135745
0.440000	1.394546	-0.186629	1.394546	-0.186629
0.450000	1.394546	-0.257868	1.394546	-0.257868
0.460000	1.394546	-0.252779	1.394546	-0.252779
0.470000	1.394546	-0.318929	1.394546	-0.318929
0.480000	1.389462	-0.385079	1.389462	-0.385079
0.490000	1.394546	-0.390168	1.394546	-0.390168
0.500000	1.389462	-0.420699	1.389462	-0.420699
0.510000	1.394546	-0.435964	1.394546	-0.435964
0.520000	1.394546	-0.446141	1.394546	-0.446141
0.530000	1.394546	-0.430876	1.394546	-0.430876
0.540000	1.394546	-0.461406	1.394546	-0.461406
0.550000	1.389462	-0.420699	1.389462	-0.420699
0.560000	1.389462	-0.476672	1.389462	-0.476672
0.570000	1.394546	-0.486849	1.394546	-0.486849
0.580000	1.389462	-0.568264	1.389462	-0.568264
0.590000	1.389462	-0.527556	1.389462	-0.527556
0.600000	1.389462	-0.563176	1.389462	-0.563176
0.610000	1.394546	-0.614060	1.394546	-0.614060
0.620000	1.394546	-0.568264	1.394546	-0.568264
0.630000	1.389462	-0.629326	1.389462	-0.629326
0.640000	1.394546	-0.644591	1.394546	-0.644591
0.650000	1.389462	-0.593706	1.389462	-0.593706
0.660000	1.394546	-0.659856	1.394546	-0.659856
0.670000	1.389462	-0.659856	1.389462	-0.659856
