10/30/2018
7:58:58 PM

0, CH+=0, CH-=199, Range=+/-10, y=a
1, CH+=1, CH-=199, Range=+/-10, y=b


Time	v0	v1	y0	y1
0.000000	0.057415	0.118678	0.057415	0.118678
0.010000	0.052330	0.118678	0.052330	0.118678
0.020000	0.052330	0.098325	0.052330	0.098325
0.030000	0.052330	0.067794	0.052330	0.067794
0.040000	0.052330	0.037263	0.052330	0.037263
0.050000	0.052330	0.103413	0.052330	0.103413
0.060000	0.052330	0.093236	0.052330	0.093236
0.070000	0.057415	0.057617	0.057415	0.057617
0.080000	0.057415	0.057617	0.057415	0.057617
0.090000	0.052330	0.083059	0.052330	0.083059
0.100000	0.057415	0.088148	0.057415	0.088148
0.110000	0.052330	0.072882	0.052330	0.072882
0.120000	0.052330	0.088148	0.052330	0.088148
0.130000	0.052330	0.057617	0.052330	0.057617
0.140000	0.052330	0.098325	0.052330	0.098325
0.150000	0.057415	0.113590	0.057415	0.113590
0.160000	0.057415	0.098325	0.057415	0.098325
0.170000	0.052330	0.139032	0.052330	0.139032
0.180000	0.052330	0.098325	0.052330	0.098325
0.190000	0.057415	0.072882	0.057415	0.072882
0.200000	0.052330	0.077971	0.052330	0.077971
0.210000	0.052330	0.057617	0.052330	0.057617
0.220000	0.057415	0.057617	0.057415	0.057617
0.230000	0.052330	0.047440	0.052330	0.047440
0.240000	0.052330	0.088148	0.052330	0.088148
0.250000	0.052330	0.016909	0.052330	0.016909
0.260000	0.052330	0.062705	0.052330	0.062705
0.270000	0.052330	0.052528	0.052330	0.052528
0.280000	0.052330	0.021998	0.052330	0.021998
0.290000	0.057415	0.047440	0.057415	0.047440
0.300000	0.057415	0.021998	0.057415	0.021998
0.310000	0.057415	0.047440	0.057415	0.047440
0.320000	0.052330	0.062705	0.052330	0.062705
0.330000	0.052330	0.083059	0.052330	0.083059
0.340000	0.052330	0.103413	0.052330	0.103413
0.350000	0.057415	0.027086	0.057415	0.027086
0.360000	0.057415	0.042351	0.057415	0.042351
0.370000	0.057415	0.072882	0.057415	0.072882
0.380000	0.052330	0.057617	0.052330	0.057617
0.390000	0.052330	0.057617	0.052330	0.057617
0.400000	0.052330	0.083059	0.052330	0.083059
0.410000	0.052330	0.072882	0.052330	0.072882
0.420000	0.052330	0.103413	0.052330	0.103413
0.430000	0.052330	0.093236	0.052330	0.093236
0.440000	0.057415	0.108501	0.057415	0.108501
0.450000	0.052330	0.113590	0.052330	0.113590
0.460000	0.057415	0.093236	0.057415	0.093236
0.470000	0.057415	0.118678	0.057415	0.118678
0.480000	0.052330	0.118678	0.052330	0.118678
0.490000	0.057415	0.118678	0.057415	0.118678
0.500000	0.057415	0.123767	0.057415	0.123767
0.510000	0.057415	0.062705	0.057415	0.062705
0.520000	0.052330	0.072882	0.052330	0.072882
0.530000	0.052330	0.067794	0.052330	0.067794
0.540000	0.057415	0.077971	0.057415	0.077971
0.550000	0.057415	0.139032	0.057415	0.139032
0.560000	0.057415	0.144121	0.057415	0.144121
0.570000	0.057415	0.103413	0.057415	0.103413
0.580000	0.057415	0.149209	0.057415	0.149209
0.590000	0.052330	0.103413	0.052330	0.103413
0.600000	0.052330	0.108501	0.052330	0.108501
0.610000	0.052330	0.118678	0.052330	0.118678
0.620000	0.052330	0.118678	0.052330	0.118678
0.630000	0.057415	0.108501	0.057415	0.108501
0.640000	0.052330	0.062705	0.052330	0.062705
0.650000	0.052330	0.042351	0.052330	0.042351
0.660000	0.057415	0.083059	0.057415	0.083059
0.670000	0.052330	0.103413	0.052330	0.103413
0.680000	0.057415	0.067794	0.057415	0.067794
0.690000	0.052330	0.027086	0.052330	0.027086
0.700000	0.057415	0.042351	0.057415	0.042351
0.710000	0.052330	0.021998	0.052330	0.021998
0.720000	0.057415	0.052528	0.057415	0.052528
0.730000	0.052330	0.083059	0.052330	0.083059
0.740000	0.057415	0.037263	0.057415	0.037263
0.750000	0.052330	0.021998	0.052330	0.021998
0.760000	0.052330	0.108501	0.052330	0.108501
0.770000	0.057415	0.072882	0.057415	0.072882
0.780000	0.057415	0.052528	0.057415	0.052528
0.790000	0.057415	0.123767	0.057415	0.123767
0.800000	0.057415	0.062705	0.057415	0.062705
0.810000	0.052330	0.047440	0.052330	0.047440
0.820000	0.057415	0.083059	0.057415	0.083059
0.830000	0.057415	0.047440	0.057415	0.047440
0.840000	0.052330	0.072882	0.052330	0.072882
0.850000	0.057415	0.077971	0.057415	0.077971
0.860000	0.052330	0.077971	0.052330	0.077971
0.870000	0.057415	0.113590	0.057415	0.113590
0.880000	0.057415	0.083059	0.057415	0.083059
0.890000	0.052330	0.083059	0.052330	0.083059
0.900000	0.057415	0.083059	0.057415	0.083059
0.910000	0.057415	0.042351	0.057415	0.042351
0.920000	0.057415	0.052528	0.057415	0.052528
