11/6/2018
7:45:06 PM

0, CH+=0, CH-=199, Range=+/-10, y=a
1, CH+=1, CH-=199, Range=+/-10, y=b


Time	v0	v1	y0	y1
0.000000	1.554276	-1.346866	1.554276	-1.346866
0.010000	1.554276	-1.311403	1.554276	-1.311403
0.020000	1.554276	-1.291138	1.554276	-1.291138
0.030000	1.554276	-1.235410	1.554276	-1.235410
0.040000	1.554276	-1.184749	1.554276	-1.184749
0.050000	1.554276	-1.129021	1.554276	-1.129021
0.060000	1.554276	-1.068227	1.554276	-1.068227
0.070000	1.559336	-0.982102	1.559336	-0.982102
0.080000	1.559336	-0.916242	1.559336	-0.916242
0.090000	1.559336	-0.819985	1.559336	-0.819985
0.100000	1.559336	-0.733861	1.559336	-0.733861
0.110000	1.564397	-0.632538	1.564397	-0.632538
0.120000	1.564397	-0.536281	1.564397	-0.536281
0.130000	1.569457	-0.450156	1.569457	-0.450156
0.140000	1.569457	-0.369097	1.569457	-0.369097
0.150000	1.569457	-0.252576	1.569457	-0.252576
0.160000	1.569457	-0.166451	1.569457	-0.166451
0.170000	1.574518	-0.065128	1.574518	-0.065128
0.180000	1.574518	0.020997	1.574518	0.020997
0.190000	1.579578	0.127386	1.579578	0.127386
0.200000	1.584639	0.208444	1.584639	0.208444
0.210000	1.589699	0.304701	1.589699	0.304701
0.220000	1.584639	0.375628	1.584639	0.375628
0.230000	1.589699	0.461752	1.589699	0.461752
0.240000	1.589699	0.522546	1.589699	0.522546
0.250000	1.594760	0.608671	1.594760	0.608671
0.260000	1.594760	0.654266	1.594760	0.654266
0.270000	1.599820	0.730259	1.599820	0.730259
0.280000	1.594760	0.775854	1.594760	0.775854
0.290000	1.599820	0.831582	1.599820	0.831582
0.300000	1.604881	0.872111	1.604881	0.872111
0.310000	1.609941	0.917706	1.609941	0.917706
0.320000	1.604881	0.958236	1.604881	0.958236
0.330000	1.609941	1.013963	1.609941	1.013963
0.340000	1.609941	1.044360	1.609941	1.044360
0.350000	1.609941	1.095022	1.609941	1.095022
0.360000	1.609941	1.115286	1.609941	1.115286
0.370000	1.609941	1.155816	1.609941	1.155816
0.380000	1.615002	1.181146	1.615002	1.181146
0.390000	1.615002	1.221676	1.615002	1.221676
0.400000	1.615002	1.241940	1.615002	1.241940
0.410000	1.615002	1.287536	1.615002	1.287536
0.420000	1.625123	1.312866	1.625123	1.312866
0.430000	1.625123	1.363528	1.625123	1.363528
0.440000	1.625123	1.404057	1.625123	1.404057
0.450000	1.630184	1.439520	1.630184	1.439520
0.460000	1.630184	1.464851	1.630184	1.464851
0.470000	1.630184	1.515513	1.630184	1.515513
0.480000	1.630184	1.540844	1.630184	1.540844
0.490000	1.630184	1.596571	1.630184	1.596571
0.500000	1.630184	1.632034	1.630184	1.632034
0.510000	1.635244	1.682696	1.635244	1.682696
0.520000	1.635244	1.733357	1.635244	1.733357
0.530000	1.635244	1.773887	1.635244	1.773887
0.540000	1.645365	1.809350	1.645365	1.809350
0.550000	1.645365	1.865078	1.645365	1.865078
0.560000	1.645365	1.900541	1.645365	1.900541
0.570000	1.645365	1.951202	1.645365	1.951202
0.580000	1.645365	1.981599	1.645365	1.981599
0.590000	1.650426	2.052525	1.650426	2.052525
0.600000	1.650426	2.072790	1.650426	2.072790
0.610000	1.655486	2.123452	1.655486	2.123452
0.620000	1.655486	2.153848	1.655486	2.153848
0.630000	1.665607	2.199444	1.665607	2.199444
0.640000	1.660547	2.229841	1.660547	2.229841
0.650000	1.665607	2.280502	1.665607	2.280502
0.660000	1.665607	2.300767	1.665607	2.300767
0.670000	1.670668	2.356495	1.670668	2.356495
