11/6/2018
7:51:41 PM

0, CH+=0, CH-=199, Range=+/-10, y=a
1, CH+=1, CH-=199, Range=+/-10, y=b


Time	v0	v1	y0	y1
0.000000	3.457030	-0.146187	3.457030	-0.146187
0.010000	3.457030	-0.095525	3.457030	-0.095525
0.020000	3.462090	-0.085393	3.462090	-0.085393
0.030000	3.457030	-0.039797	3.457030	-0.039797
0.040000	3.467151	-0.034731	3.467151	-0.034731
0.050000	3.457030	0.010864	3.457030	0.010864
0.060000	3.462090	0.015930	3.462090	0.015930
0.070000	3.457030	0.056460	3.457030	0.056460
0.080000	3.462090	0.020997	3.462090	0.020997
0.090000	3.462090	0.020997	3.462090	0.020997
0.100000	3.462090	-0.039797	3.462090	-0.039797
0.110000	3.457030	-0.070194	3.457030	-0.070194
0.120000	3.457030	-0.141120	3.457030	-0.141120
0.130000	3.457030	-0.156319	3.457030	-0.156319
0.140000	3.457030	-0.206980	3.457030	-0.206980
0.150000	3.457030	-0.206980	3.457030	-0.206980
0.160000	3.457030	-0.232311	3.457030	-0.232311
0.170000	3.457030	-0.206980	3.457030	-0.206980
0.180000	3.451969	-0.227245	3.451969	-0.227245
0.190000	3.457030	-0.201914	3.457030	-0.201914
0.200000	3.457030	-0.212047	3.457030	-0.212047
0.210000	3.457030	-0.212047	3.457030	-0.212047
0.220000	3.451969	-0.262708	3.451969	-0.262708
0.230000	3.451969	-0.272840	3.451969	-0.272840
0.240000	3.451969	-0.328568	3.451969	-0.328568
0.250000	3.451969	-0.328568	3.451969	-0.328568
0.260000	3.451969	-0.379230	3.451969	-0.379230
0.270000	3.451969	-0.369097	3.451969	-0.369097
0.280000	3.451969	-0.394428	3.451969	-0.394428
0.290000	3.451969	-0.384296	3.451969	-0.384296
0.300000	3.451969	-0.404561	3.451969	-0.404561
0.310000	3.446909	-0.389362	3.446909	-0.389362
0.320000	3.451969	-0.399494	3.451969	-0.399494
0.330000	3.446909	-0.379230	3.446909	-0.379230
0.340000	3.446909	-0.394428	3.446909	-0.394428
0.350000	3.446909	-0.379230	3.446909	-0.379230
0.360000	3.451969	-0.394428	3.451969	-0.394428
0.370000	3.446909	-0.379230	3.446909	-0.379230
0.380000	3.446909	-0.409627	3.446909	-0.409627
0.390000	3.446909	-0.434957	3.446909	-0.434957
0.400000	3.446909	-0.521082	3.446909	-0.521082
0.410000	3.436788	-0.592008	3.436788	-0.592008
0.420000	3.436788	-0.693331	3.436788	-0.693331
0.430000	3.431727	-0.764258	3.431727	-0.764258
0.440000	3.431727	-0.845316	3.431727	-0.845316
0.450000	3.431727	-0.860515	3.431727	-0.860515
0.460000	3.431727	-0.916242	3.431727	-0.916242
0.470000	3.431727	-0.890912	3.431727	-0.890912
0.480000	3.431727	-0.890912	3.431727	-0.890912
0.490000	3.431727	-0.850382	3.431727	-0.850382
0.500000	3.436788	-0.830118	3.436788	-0.830118
0.510000	3.436788	-0.779456	3.436788	-0.779456
0.520000	3.431727	-0.754125	3.431727	-0.754125
0.530000	3.431727	-0.688265	3.431727	-0.688265
0.540000	3.436788	-0.668001	3.436788	-0.668001
0.550000	3.441848	-0.612273	3.441848	-0.612273
0.560000	3.436788	-0.592008	3.436788	-0.592008
0.570000	3.431727	-0.526148	3.431727	-0.526148
0.580000	3.436788	-0.510950	3.436788	-0.510950
0.590000	3.436788	-0.460288	3.436788	-0.460288
0.600000	3.441848	-0.429891	3.441848	-0.429891
0.610000	3.441848	-0.379230	3.441848	-0.379230
0.620000	3.441848	-0.343767	3.441848	-0.343767
0.630000	3.441848	-0.282973	3.441848	-0.282973
0.640000	3.441848	-0.262708	3.441848	-0.262708
0.650000	3.441848	-0.206980	3.441848	-0.206980
0.660000	3.446909	-0.196848	3.446909	-0.196848
0.670000	3.441848	-0.161385	3.441848	-0.161385
0.680000	3.451969	-0.156319	3.451969	-0.156319
0.690000	3.446909	-0.130988	3.446909	-0.130988
0.700000	3.446909	-0.130988	3.446909	-0.130988
0.710000	3.446909	-0.105657	3.446909	-0.105657
0.720000	3.446909	-0.115790	3.446909	-0.115790
0.730000	3.446909	-0.090459	3.446909	-0.090459
0.740000	3.441848	-0.105657	3.441848	-0.105657
0.750000	3.446909	-0.085393	3.446909	-0.085393
0.760000	3.441848	-0.110723	3.441848	-0.110723
0.770000	3.441848	-0.090459	3.441848	-0.090459
0.780000	3.446909	-0.100591	3.446909	-0.100591
0.790000	3.441848	-0.080327	3.441848	-0.080327
0.800000	3.446909	-0.095525	3.446909	-0.095525
0.810000	3.446909	-0.065128	3.446909	-0.065128
0.820000	3.446909	-0.070194	3.446909	-0.070194
0.830000	3.446909	-0.049930	3.446909	-0.049930
0.840000	3.446909	-0.049930	3.446909	-0.049930
0.850000	3.446909	-0.019533	3.446909	-0.019533
0.860000	3.446909	-0.024599	3.446909	-0.024599
0.870000	3.446909	0.010864	3.446909	0.010864
0.880000	3.451969	0.015930	3.451969	0.015930
0.890000	3.446909	0.056460	3.446909	0.056460
0.900000	3.446909	0.061526	3.446909	0.061526
0.910000	3.451969	0.112187	3.451969	0.112187
0.920000	3.451969	0.117254	3.451969	0.117254
0.930000	3.451969	0.132452	3.451969	0.132452
0.940000	3.451969	0.137518	3.451969	0.137518
0.950000	3.451969	0.162849	3.451969	0.162849
0.960000	3.451969	0.162849	3.451969	0.162849
0.970000	3.451969	0.198312	3.451969	0.198312
0.980000	3.457030	0.198312	3.457030	0.198312
0.990000	3.451969	0.228709	3.451969	0.228709
1.000000	3.451969	0.223643	3.451969	0.223643
1.010000	3.457030	0.238841	3.457030	0.238841
1.020000	3.457030	0.238841	3.457030	0.238841
1.030000	3.457030	0.264172	3.457030	0.264172
1.040000	3.457030	0.264172	3.457030	0.264172
1.050000	3.457030	0.304701	3.457030	0.304701
1.060000	3.462090	0.299635	3.462090	0.299635
1.070000	3.457030	0.319900	3.457030	0.319900
1.080000	3.462090	0.294569	3.462090	0.294569
1.090000	3.457030	0.289503	3.457030	0.289503
1.100000	3.457030	0.213511	3.457030	0.213511
1.110000	3.457030	0.117254	3.457030	0.117254
1.120000	3.446909	-0.054996	3.446909	-0.054996
1.130000	3.441848	-0.206980	3.441848	-0.206980
1.140000	3.441848	-0.409627	3.441848	-0.409627
1.150000	3.431727	-0.526148	3.431727	-0.526148
1.160000	3.436788	-0.652802	3.436788	-0.652802
1.170000	3.431727	-0.713596	3.431727	-0.713596
1.180000	3.431727	-0.784522	3.431727	-0.784522
1.190000	3.426667	-0.799721	3.426667	-0.799721
1.200000	3.426667	-0.830118	3.426667	-0.830118
1.210000	3.426667	-0.819985	3.426667	-0.819985
1.220000	3.431727	-0.830118	3.431727	-0.830118
1.230000	3.426667	-0.809853	3.426667	-0.809853
1.240000	3.426667	-0.830118	3.426667	-0.830118
1.250000	3.421606	-0.804787	3.421606	-0.804787
1.260000	3.426667	-0.830118	3.426667	-0.830118
1.270000	3.426667	-0.819985	3.426667	-0.819985
1.280000	3.431727	-0.845316	3.431727	-0.845316
1.290000	3.426667	-0.835184	3.426667	-0.835184
1.300000	3.426667	-0.860515	3.426667	-0.860515
1.310000	3.421606	-0.880779	3.421606	-0.880779
1.320000	3.416546	-0.956772	3.416546	-0.956772
1.330000	3.416546	-0.966904	3.416546	-0.966904
1.340000	3.421606	-0.992235	3.421606	-0.992235
1.350000	3.421606	-0.941573	3.421606	-0.941573
1.360000	3.421606	-0.855448	3.421606	-0.855448
1.370000	3.426667	-0.718662	3.426667	-0.718662
1.380000	3.426667	-0.647736	3.426667	-0.647736
1.390000	3.426667	-0.592008	3.426667	-0.592008
1.400000	3.426667	-0.581876	3.426667	-0.581876
1.410000	3.426667	-0.546413	3.426667	-0.546413
1.420000	3.421606	-0.576810	3.421606	-0.576810
1.430000	3.421606	-0.597074	3.421606	-0.597074
1.440000	3.426667	-0.647736	3.426667	-0.647736
1.450000	3.421606	-0.652802	3.421606	-0.652802
1.460000	3.421606	-0.683199	3.421606	-0.683199
1.470000	3.421606	-0.678133	3.421606	-0.678133
1.480000	3.421606	-0.703464	3.421606	-0.703464
1.490000	3.421606	-0.683199	3.421606	-0.683199
1.500000	3.421606	-0.668001	3.421606	-0.668001
1.510000	3.421606	-0.632538	3.421606	-0.632538
1.520000	3.426667	-0.612273	3.426667	-0.612273
1.530000	3.426667	-0.536281	3.426667	-0.536281
1.540000	3.421606	-0.521082	3.421606	-0.521082
1.550000	3.421606	-0.455222	3.421606	-0.455222
1.560000	3.426667	-0.409627	3.426667	-0.409627
1.570000	3.426667	-0.328568	3.426667	-0.328568
1.580000	3.431727	-0.288039	3.431727	-0.288039
1.590000	3.426667	-0.201914	3.426667	-0.201914
1.600000	3.431727	-0.171517	3.431727	-0.171517
1.610000	3.431727	-0.105657	3.431727	-0.105657
1.620000	3.436788	-0.085393	3.436788	-0.085393
1.630000	3.436788	-0.039797	3.436788	-0.039797
1.640000	3.436788	-0.029665	3.436788	-0.029665
1.650000	3.431727	0.010864	3.431727	0.010864
1.660000	3.436788	0.031129	3.436788	0.031129
1.670000	3.436788	0.112187	3.436788	0.112187
1.680000	3.436788	0.132452	3.436788	0.132452
1.690000	3.441848	0.213511	3.441848	0.213511
1.700000	3.441848	0.254040	3.441848	0.254040
1.710000	3.446909	0.335098	3.446909	0.335098
1.720000	3.446909	0.365495	3.446909	0.365495
1.730000	3.446909	0.446554	3.446909	0.446554
1.740000	3.451969	0.461752	3.451969	0.461752
1.750000	3.446909	0.537745	3.446909	0.537745
1.760000	3.451969	0.563075	3.451969	0.563075
1.770000	3.451969	0.618803	3.451969	0.618803
1.780000	3.457030	0.628935	3.457030	0.628935
1.790000	3.451969	0.634002	3.451969	0.634002
1.800000	3.451969	0.588406	3.451969	0.588406
1.810000	3.446909	0.527612	3.446909	0.527612
1.820000	3.446909	0.416157	3.446909	0.416157
1.830000	3.441848	0.264172	3.441848	0.264172
1.840000	3.436788	0.031129	3.436788	0.031129
1.850000	3.431727	-0.201914	3.431727	-0.201914
1.860000	3.421606	-0.510950	3.421606	-0.510950
1.870000	3.416546	-0.819985	3.416546	-0.819985
1.880000	3.411485	-1.088492	3.411485	-1.088492
1.890000	3.406425	-1.245542	3.406425	-1.245542
1.900000	3.406425	-1.367130	3.406425	-1.367130
1.910000	3.406425	-1.392461	3.406425	-1.392461
1.920000	3.406425	-1.417792	3.406425	-1.417792
1.930000	3.406425	-1.387395	3.406425	-1.387395
1.940000	3.411485	-1.392461	3.411485	-1.392461
1.950000	3.406425	-1.382329	3.406425	-1.382329
1.960000	3.401364	-1.392461	3.401364	-1.392461
1.970000	3.401364	-1.362064	3.401364	-1.362064
1.980000	3.406425	-1.341799	3.406425	-1.341799
1.990000	3.406425	-1.291138	3.406425	-1.291138
2.000000	3.401364	-1.291138	3.401364	-1.291138
2.010000	3.401364	-1.291138	3.401364	-1.291138
2.020000	3.401364	-1.316469	3.401364	-1.316469
2.030000	3.401364	-1.296204	3.401364	-1.296204
2.040000	3.406425	-1.270873	3.406425	-1.270873
2.050000	3.406425	-1.179682	3.406425	-1.179682
2.060000	3.401364	-1.129021	3.401364	-1.129021
2.070000	3.406425	-1.042896	3.406425	-1.042896
2.080000	3.406425	-0.966904	3.406425	-0.966904
2.090000	3.406425	-0.860515	3.406425	-0.860515
2.100000	3.411485	-0.835184	3.411485	-0.835184
2.110000	3.406425	-0.764258	3.406425	-0.764258
2.120000	3.411485	-0.738927	3.411485	-0.738927
2.130000	3.406425	-0.678133	3.406425	-0.678133
2.140000	3.411485	-0.642670	3.411485	-0.642670
2.150000	3.416546	-0.556545	3.416546	-0.556545
2.160000	3.411485	-0.521082	3.411485	-0.521082
2.170000	3.411485	-0.450156	3.411485	-0.450156
2.180000	3.416546	-0.419759	3.416546	-0.419759
2.190000	3.411485	-0.374164	3.411485	-0.374164
2.200000	3.416546	-0.348833	3.416546	-0.348833
2.210000	3.416546	-0.288039	3.416546	-0.288039
2.220000	3.421606	-0.247510	3.421606	-0.247510
2.230000	3.416546	-0.176583	3.416546	-0.176583
2.240000	3.421606	-0.136054	3.421606	-0.136054
2.250000	3.421606	-0.049930	3.421606	-0.049930
2.260000	3.421606	0.000732	3.421606	0.000732
2.270000	3.426667	0.086857	3.426667	0.086857
2.280000	3.426667	0.137518	3.426667	0.137518
2.290000	3.426667	0.213511	3.426667	0.213511
2.300000	3.426667	0.259106	3.426667	0.259106
2.310000	3.431727	0.335098	3.431727	0.335098
2.320000	3.431727	0.365495	3.431727	0.365495
2.330000	3.431727	0.441488	3.431727	0.441488
2.340000	3.436788	0.466818	3.436788	0.466818
2.350000	3.431727	0.527612	3.431727	0.527612
2.360000	3.441848	0.578274	3.441848	0.578274
2.370000	3.441848	0.639068	3.441848	0.639068
2.380000	3.441848	0.679597	3.441848	0.679597
2.390000	3.441848	0.760655	3.441848	0.760655
2.400000	3.441848	0.770788	3.441848	0.770788
2.410000	3.446909	0.791052	3.446909	0.791052
2.420000	3.446909	0.785986	3.446909	0.785986
2.430000	3.441848	0.796119	3.441848	0.796119
2.440000	3.446909	0.780920	3.446909	0.780920
2.450000	3.441848	0.801185	3.441848	0.801185
2.460000	3.446909	0.780920	3.446909	0.780920
2.470000	3.446909	0.770788	3.446909	0.770788
2.480000	3.446909	0.740391	3.446909	0.740391
2.490000	3.446909	0.735325	3.446909	0.735325
2.500000	3.446909	0.689729	3.446909	0.689729
2.510000	3.441848	0.654266	3.441848	0.654266
2.520000	3.446909	0.588406	3.446909	0.588406
2.530000	3.436788	0.507348	3.436788	0.507348
2.540000	3.441848	0.355363	3.441848	0.355363
2.550000	3.431727	0.172981	3.431727	0.172981
2.560000	3.426667	-0.080327	3.426667	-0.080327
2.570000	3.416546	-0.343767	3.416546	-0.343767
2.580000	3.411485	-0.622405	3.411485	-0.622405
2.590000	3.411485	-0.845316	3.411485	-0.845316
2.600000	3.401364	-1.047962	3.401364	-1.047962
2.610000	3.396304	-1.174616	3.396304	-1.174616
2.620000	3.401364	-1.301270	3.401364	-1.301270
2.630000	3.396304	-1.362064	3.396304	-1.362064
2.640000	3.396304	-1.417792	3.396304	-1.417792
2.650000	3.396304	-1.438056	3.396304	-1.438056
2.660000	3.396304	-1.473520	3.396304	-1.473520
2.670000	3.391243	-1.493784	3.391243	-1.493784
2.680000	3.391243	-1.559644	3.391243	-1.559644
2.690000	3.381122	-1.625504	3.381122	-1.625504
2.700000	3.386183	-1.721761	3.386183	-1.721761
2.710000	3.376062	-1.797754	3.376062	-1.797754
2.720000	3.376062	-1.863614	3.376062	-1.863614
2.730000	3.381122	-1.853481	3.381122	-1.853481
2.740000	3.381122	-1.843349	3.381122	-1.843349
2.750000	3.381122	-1.787621	3.381122	-1.787621
2.760000	3.381122	-1.742026	3.381122	-1.742026
2.770000	3.381122	-1.686298	3.381122	-1.686298
2.780000	3.381122	-1.660967	3.381122	-1.660967
2.790000	3.381122	-1.610306	3.381122	-1.610306
2.800000	3.381122	-1.595107	3.381122	-1.595107
2.810000	3.381122	-1.574843	3.381122	-1.574843
2.820000	3.376062	-1.600173	3.376062	-1.600173
2.830000	3.376062	-1.600173	3.376062	-1.600173
2.840000	3.376062	-1.610306	3.376062	-1.610306
2.850000	3.376062	-1.574843	3.376062	-1.574843
2.860000	3.381122	-1.559644	3.381122	-1.559644
2.870000	3.376062	-1.508983	3.376062	-1.508983
2.880000	3.376062	-1.503916	3.376062	-1.503916
2.890000	3.376062	-1.463387	3.376062	-1.463387
2.900000	3.376062	-1.443123	3.376062	-1.443123
2.910000	3.376062	-1.392461	3.376062	-1.392461
2.920000	3.376062	-1.367130	3.376062	-1.367130
2.930000	3.376062	-1.311403	3.376062	-1.311403
2.940000	3.376062	-1.281006	3.376062	-1.281006
2.950000	3.376062	-1.205013	3.376062	-1.205013
2.960000	3.381122	-1.179682	3.381122	-1.179682
2.970000	3.381122	-1.123955	3.381122	-1.123955
2.980000	3.376062	-1.098624	3.376062	-1.098624
2.990000	3.376062	-1.053029	3.376062	-1.053029
3.000000	3.381122	-1.037830	3.381122	-1.037830
3.010000	3.376062	-0.997301	3.376062	-0.997301
3.020000	3.381122	-1.007433	3.381122	-1.007433
3.030000	3.376062	-1.007433	3.376062	-1.007433
3.040000	3.376062	-1.042896	3.376062	-1.042896
3.050000	3.376062	-1.047962	3.376062	-1.047962
3.060000	3.376062	-1.083425	3.376062	-1.083425
3.070000	3.376062	-1.063161	3.376062	-1.063161
3.080000	3.376062	-1.058095	3.376062	-1.058095
3.090000	3.376062	-1.022632	3.376062	-1.022632
3.100000	3.381122	-0.992235	3.381122	-0.992235
3.110000	3.376062	-0.946639	3.376062	-0.946639
3.120000	3.376062	-0.931441	3.376062	-0.931441
3.130000	3.376062	-0.880779	3.376062	-0.880779
3.140000	3.381122	-0.870647	3.381122	-0.870647
3.150000	3.376062	-0.845316	3.376062	-0.845316
3.160000	3.376062	-0.850382	3.376062	-0.850382
3.170000	3.376062	-0.830118	3.376062	-0.830118
3.180000	3.376062	-0.840250	3.376062	-0.840250
3.190000	3.376062	-0.814919	3.376062	-0.814919
3.200000	3.371001	-0.825052	3.371001	-0.825052
3.210000	3.376062	-0.794655	3.376062	-0.794655
3.220000	3.376062	-0.809853	3.376062	-0.809853
3.230000	3.371001	-0.804787	3.371001	-0.804787
3.240000	3.371001	-0.860515	3.371001	-0.860515
3.250000	3.371001	-0.941573	3.371001	-0.941573
3.260000	3.371001	-1.078359	3.371001	-1.078359
3.270000	3.365941	-1.164484	3.365941	-1.164484
3.280000	3.360880	-1.316469	3.360880	-1.316469
3.290000	3.360880	-1.387395	3.360880	-1.387395
3.300000	3.360880	-1.473520	3.360880	-1.473520
3.310000	3.360880	-1.453255	3.360880	-1.453255
3.320000	3.365941	-1.483652	3.365941	-1.483652
3.330000	3.360880	-1.422858	3.360880	-1.422858
3.340000	3.360880	-1.438056	3.360880	-1.438056
3.350000	3.360880	-1.362064	3.360880	-1.362064
3.360000	3.360880	-1.367130	3.360880	-1.367130
3.370000	3.365941	-1.286072	3.365941	-1.286072
3.380000	3.365941	-1.275939	3.365941	-1.275939
3.390000	3.360880	-1.179682	3.360880	-1.179682
3.400000	3.360880	-1.189815	3.360880	-1.189815
3.410000	3.360880	-1.134087	3.360880	-1.134087
3.420000	3.365941	-1.139153	3.365941	-1.139153
3.430000	3.360880	-1.063161	3.360880	-1.063161
3.440000	3.365941	-1.058095	3.365941	-1.058095
3.450000	3.365941	-0.951705	3.365941	-0.951705
3.460000	3.365941	-0.921308	3.365941	-0.921308
3.470000	3.360880	-0.825052	3.360880	-0.825052
3.480000	3.365941	-0.804787	3.365941	-0.804787
3.490000	3.365941	-0.713596	3.365941	-0.713596
3.500000	3.365941	-0.708530	3.365941	-0.708530
3.510000	3.365941	-0.622405	3.365941	-0.622405
3.520000	3.365941	-0.592008	3.365941	-0.592008
3.530000	3.365941	-0.500817	3.365941	-0.500817
3.540000	3.365941	-0.510950	3.365941	-0.510950
3.550000	3.365941	-0.429891	3.365941	-0.429891
3.560000	3.371001	-0.419759	3.371001	-0.419759
3.570000	3.371001	-0.318436	3.371001	-0.318436
3.580000	3.371001	-0.293105	3.371001	-0.293105
3.590000	3.371001	-0.196848	3.371001	-0.196848
3.600000	3.371001	-0.201914	3.371001	-0.201914
3.610000	3.371001	-0.166451	3.371001	-0.166451
3.620000	3.371001	-0.181650	3.371001	-0.181650
3.630000	3.371001	-0.105657	3.371001	-0.105657
3.640000	3.371001	-0.095525	3.371001	-0.095525
3.650000	3.376062	-0.009400	3.376062	-0.009400
3.660000	3.381122	0.010864	3.381122	0.010864
3.670000	3.376062	0.117254	3.376062	0.117254
3.680000	3.376062	0.122320	3.376062	0.122320
3.690000	3.376062	0.213511	3.376062	0.213511
3.700000	3.381122	0.228709	3.381122	0.228709
3.710000	3.381122	0.319900	3.381122	0.319900
3.720000	3.381122	0.304701	3.381122	0.304701
3.730000	3.381122	0.365495	3.381122	0.365495
3.740000	3.381122	0.335098	3.381122	0.335098
3.750000	3.381122	0.385760	3.381122	0.385760
3.760000	3.381122	0.355363	3.381122	0.355363
3.770000	3.381122	0.431355	3.381122	0.431355
3.780000	3.381122	0.426289	3.381122	0.426289
3.790000	3.386183	0.487083	3.386183	0.487083
3.800000	3.391243	0.487083	3.391243	0.487083
3.810000	3.386183	0.542811	3.386183	0.542811
3.820000	3.391243	0.502281	3.391243	0.502281
3.830000	3.386183	0.532678	3.386183	0.532678
3.840000	3.391243	0.482017	3.391243	0.482017
3.850000	3.386183	0.507348	3.386183	0.507348
3.860000	3.391243	0.482017	3.391243	0.482017
3.870000	3.391243	0.527612	3.391243	0.527612
3.880000	3.386183	0.502281	3.386183	0.502281
3.890000	3.391243	0.522546	3.391243	0.522546
3.900000	3.391243	0.451620	3.391243	0.451620
3.910000	3.386183	0.436421	3.386183	0.436421
3.920000	3.386183	0.294569	3.386183	0.294569
3.930000	3.381122	0.238841	3.381122	0.238841
3.940000	3.386183	0.122320	3.386183	0.122320
3.950000	3.381122	0.066592	3.381122	0.066592
3.960000	3.381122	-0.029665	3.381122	-0.029665
3.970000	3.381122	-0.039797	3.381122	-0.039797
3.980000	3.381122	-0.075260	3.381122	-0.075260
3.990000	3.376062	-0.039797	3.376062	-0.039797
4.000000	3.381122	-0.029665	3.381122	-0.029665
4.010000	3.381122	0.031129	3.381122	0.031129
4.020000	3.386183	0.046327	3.386183	0.046327
4.030000	3.386183	0.117254	3.386183	0.117254
4.040000	3.386183	0.122320	3.386183	0.122320
4.050000	3.386183	0.172981	3.386183	0.172981
4.060000	3.391243	0.172981	3.391243	0.172981
4.070000	3.391243	0.248974	3.391243	0.248974
4.080000	3.386183	0.264172	3.386183	0.264172
4.090000	3.386183	0.345231	3.386183	0.345231
4.100000	3.396304	0.375628	3.396304	0.375628
4.110000	3.391243	0.461752	3.391243	0.461752
4.120000	3.396304	0.487083	3.396304	0.487083
4.130000	3.391243	0.558009	3.391243	0.558009
4.140000	3.396304	0.568142	3.396304	0.568142
4.150000	3.396304	0.623869	3.396304	0.623869
4.160000	3.396304	0.618803	3.396304	0.618803
4.170000	3.396304	0.654266	3.396304	0.654266
4.180000	3.401364	0.639068	3.401364	0.639068
4.190000	3.396304	0.674531	3.396304	0.674531
4.200000	3.396304	0.654266	3.396304	0.654266
4.210000	3.396304	0.679597	3.396304	0.679597
4.220000	3.396304	0.634002	3.396304	0.634002
4.230000	3.396304	0.623869	3.396304	0.623869
4.240000	3.401364	0.558009	3.401364	0.558009
4.250000	3.401364	0.552943	3.401364	0.552943
4.260000	3.396304	0.487083	3.396304	0.487083
4.270000	3.396304	0.482017	3.396304	0.482017
4.280000	3.396304	0.441488	3.396304	0.441488
4.290000	3.391243	0.441488	3.391243	0.441488
4.300000	3.396304	0.385760	3.396304	0.385760
4.310000	3.396304	0.411091	3.396304	0.411091
4.320000	3.396304	0.355363	3.396304	0.355363
4.330000	3.396304	0.350297	3.396304	0.350297
4.340000	3.391243	0.299635	3.391243	0.299635
4.350000	3.396304	0.304701	3.396304	0.304701
4.360000	3.391243	0.259106	3.391243	0.259106
4.370000	3.396304	0.279371	3.396304	0.279371
4.380000	3.396304	0.254040	3.396304	0.254040
4.390000	3.391243	0.279371	3.391243	0.279371
4.400000	3.391243	0.243907	3.391243	0.243907
4.410000	3.391243	0.264172	3.391243	0.264172
4.420000	3.396304	0.238841	3.396304	0.238841
4.430000	3.396304	0.259106	3.396304	0.259106
4.440000	3.396304	0.248974	3.396304	0.248974
4.450000	3.391243	0.274304	3.391243	0.274304
4.460000	3.396304	0.259106	3.396304	0.259106
4.470000	3.396304	0.279371	3.396304	0.279371
