11/6/2018
7:50:40 PM

0, CH+=0, CH-=199, Range=+/-10, y=a
1, CH+=1, CH-=199, Range=+/-10, y=b


Time	v0	v1	y0	y1
0.000000	2.115993	0.117254	2.115993	0.117254
0.010000	2.115993	0.096989	2.115993	0.096989
0.020000	2.115993	0.117254	2.115993	0.117254
0.030000	2.110933	0.107121	2.110933	0.107121
0.040000	2.110933	0.122320	2.110933	0.122320
0.050000	2.115993	0.112187	2.115993	0.112187
0.060000	2.110933	0.132452	2.110933	0.132452
0.070000	2.115993	0.117254	2.115993	0.117254
0.080000	2.110933	0.137518	2.110933	0.137518
0.090000	2.110933	0.122320	2.110933	0.122320
0.100000	2.115993	0.142584	2.115993	0.142584
0.110000	2.110933	0.122320	2.110933	0.122320
0.120000	2.110933	0.152717	2.110933	0.152717
0.130000	2.115993	0.127386	2.115993	0.127386
0.140000	2.115993	0.152717	2.115993	0.152717
0.150000	2.121054	0.132452	2.121054	0.132452
0.160000	2.115993	0.157783	2.115993	0.157783
0.170000	2.115993	0.132452	2.115993	0.132452
0.180000	2.115993	0.157783	2.115993	0.157783
0.190000	2.115993	0.137518	2.115993	0.137518
0.200000	2.115993	0.157783	2.115993	0.157783
0.210000	2.110933	0.137518	2.110933	0.137518
0.220000	2.115993	0.157783	2.115993	0.157783
0.230000	2.115993	0.137518	2.115993	0.137518
0.240000	2.115993	0.157783	2.115993	0.157783
0.250000	2.115993	0.142584	2.115993	0.142584
0.260000	2.115993	0.162849	2.115993	0.162849
0.270000	2.115993	0.137518	2.115993	0.137518
0.280000	2.115993	0.157783	2.115993	0.157783
0.290000	2.115993	0.137518	2.115993	0.137518
0.300000	2.115993	0.157783	2.115993	0.157783
0.310000	2.115993	0.137518	2.115993	0.137518
0.320000	2.115993	0.157783	2.115993	0.157783
0.330000	2.115993	0.137518	2.115993	0.137518
0.340000	2.115993	0.157783	2.115993	0.157783
0.350000	2.115993	0.137518	2.115993	0.137518
0.360000	2.115993	0.157783	2.115993	0.157783
0.370000	2.121054	0.137518	2.121054	0.137518
0.380000	2.121054	0.157783	2.121054	0.157783
0.390000	2.121054	0.132452	2.121054	0.132452
0.400000	2.115993	0.157783	2.115993	0.157783
0.410000	2.115993	0.137518	2.115993	0.137518
0.420000	2.121054	0.157783	2.121054	0.157783
0.430000	2.115993	0.137518	2.115993	0.137518
0.440000	2.115993	0.157783	2.115993	0.157783
0.450000	2.115993	0.137518	2.115993	0.137518
0.460000	2.115993	0.157783	2.115993	0.157783
0.470000	2.121054	0.137518	2.121054	0.137518
0.480000	2.121054	0.157783	2.121054	0.157783
0.490000	2.115993	0.137518	2.115993	0.137518
0.500000	2.115993	0.162849	2.115993	0.162849
0.510000	2.115993	0.137518	2.115993	0.137518
0.520000	2.121054	0.162849	2.121054	0.162849
0.530000	2.115993	0.142584	2.115993	0.142584
0.540000	2.115993	0.162849	2.115993	0.162849
0.550000	2.115993	0.142584	2.115993	0.142584
0.560000	2.121054	0.162849	2.121054	0.162849
0.570000	2.121054	0.142584	2.121054	0.142584
0.580000	2.115993	0.162849	2.115993	0.162849
0.590000	2.121054	0.137518	2.121054	0.137518
0.600000	2.121054	0.167915	2.121054	0.167915
0.610000	2.121054	0.142584	2.121054	0.142584
0.620000	2.115993	0.167915	2.115993	0.167915
0.630000	2.121054	0.147651	2.121054	0.147651
0.640000	2.121054	0.162849	2.121054	0.162849
0.650000	2.115993	0.147651	2.115993	0.147651
0.660000	2.121054	0.167915	2.121054	0.167915
0.670000	2.121054	0.147651	2.121054	0.147651
0.680000	2.121054	0.157783	2.121054	0.157783
0.690000	2.121054	0.127386	2.121054	0.127386
0.700000	2.121054	0.127386	2.121054	0.127386
0.710000	2.121054	0.091923	2.121054	0.091923
0.720000	2.115993	0.056460	2.115993	0.056460
0.730000	2.115993	-0.029665	2.115993	-0.029665
0.740000	2.110933	-0.110723	2.110933	-0.110723
0.750000	2.105872	-0.247510	2.105872	-0.247510
0.760000	2.110933	-0.364031	2.110933	-0.364031
0.770000	2.105872	-0.485619	2.105872	-0.485619
0.780000	2.105872	-0.536281	2.105872	-0.536281
0.790000	2.105872	-0.627471	2.105872	-0.627471
0.800000	2.105872	-0.632538	2.105872	-0.632538
0.810000	2.100812	-0.657868	2.100812	-0.657868
0.820000	2.100812	-0.622405	2.100812	-0.622405
0.830000	2.100812	-0.627471	2.100812	-0.627471
0.840000	2.105872	-0.561611	2.105872	-0.561611
0.850000	2.105872	-0.541347	2.105872	-0.541347
0.860000	2.105872	-0.495751	2.105872	-0.495751
0.870000	2.105872	-0.480553	2.105872	-0.480553
0.880000	2.105872	-0.429891	2.105872	-0.429891
0.890000	2.100812	-0.414693	2.100812	-0.414693
0.900000	2.105872	-0.353899	2.105872	-0.353899
0.910000	2.110933	-0.333634	2.110933	-0.333634
0.920000	2.110933	-0.267774	2.110933	-0.267774
0.930000	2.105872	-0.242444	2.105872	-0.242444
0.940000	2.105872	-0.181650	2.105872	-0.181650
0.950000	2.110933	-0.171517	2.110933	-0.171517
0.960000	2.110933	-0.115790	2.110933	-0.115790
0.970000	2.110933	-0.110723	2.110933	-0.110723
0.980000	2.110933	-0.060062	2.110933	-0.060062
0.990000	2.115993	-0.065128	2.115993	-0.065128
1.000000	2.110933	-0.029665	2.110933	-0.029665
1.010000	2.110933	-0.044863	2.110933	-0.044863
1.020000	2.115993	-0.009400	2.115993	-0.009400
1.030000	2.115993	-0.019533	2.115993	-0.019533
1.040000	2.110933	0.005798	2.110933	0.005798
1.050000	2.115993	-0.004334	2.115993	-0.004334
1.060000	2.115993	0.026063	2.115993	0.026063
1.070000	2.110933	0.010864	2.110933	0.010864
1.080000	2.115993	0.036195	2.115993	0.036195
1.090000	2.110933	0.026063	2.110933	0.026063
1.100000	2.115993	0.056460	2.115993	0.056460
1.110000	2.115993	0.036195	2.115993	0.036195
1.120000	2.115993	0.076724	2.115993	0.076724
1.130000	2.115993	0.056460	2.115993	0.056460
1.140000	2.115993	0.091923	2.115993	0.091923
1.150000	2.115993	0.071658	2.115993	0.071658
1.160000	2.115993	0.117254	2.115993	0.117254
1.170000	2.115993	0.096989	2.115993	0.096989
1.180000	2.115993	0.122320	2.115993	0.122320
1.190000	2.115993	0.112187	2.115993	0.112187
1.200000	2.115993	0.127386	2.115993	0.127386
1.210000	2.115993	0.117254	2.115993	0.117254
1.220000	2.115993	0.132452	2.115993	0.132452
1.230000	2.115993	0.117254	2.115993	0.117254
1.240000	2.115993	0.142584	2.115993	0.142584
1.250000	2.115993	0.127386	2.115993	0.127386
1.260000	2.115993	0.142584	2.115993	0.142584
1.270000	2.121054	0.122320	2.121054	0.122320
1.280000	2.115993	0.142584	2.115993	0.142584
1.290000	2.115993	0.127386	2.115993	0.127386
1.300000	2.115993	0.147651	2.115993	0.147651
1.310000	2.115993	0.127386	2.115993	0.127386
1.320000	2.121054	0.147651	2.121054	0.147651
1.330000	2.121054	0.127386	2.121054	0.127386
1.340000	2.110933	0.152717	2.110933	0.152717
1.350000	2.121054	0.127386	2.121054	0.127386
1.360000	2.121054	0.147651	2.121054	0.147651
1.370000	2.115993	0.127386	2.115993	0.127386
1.380000	2.121054	0.152717	2.121054	0.152717
1.390000	2.115993	0.127386	2.115993	0.127386
1.400000	2.115993	0.147651	2.115993	0.147651
1.410000	2.121054	0.127386	2.121054	0.127386
1.420000	2.115993	0.152717	2.115993	0.152717
1.430000	2.121054	0.127386	2.121054	0.127386
1.440000	2.121054	0.147651	2.121054	0.147651
1.450000	2.121054	0.127386	2.121054	0.127386
1.460000	2.115993	0.147651	2.115993	0.147651
1.470000	2.115993	0.132452	2.115993	0.132452
1.480000	2.115993	0.152717	2.115993	0.152717
1.490000	2.115993	0.132452	2.115993	0.132452
1.500000	2.121054	0.157783	2.121054	0.157783
1.510000	2.121054	0.132452	2.121054	0.132452
1.520000	2.121054	0.152717	2.121054	0.152717
1.530000	2.115993	0.132452	2.115993	0.132452
1.540000	2.115993	0.152717	2.115993	0.152717
1.550000	2.121054	0.137518	2.121054	0.137518
1.560000	2.121054	0.157783	2.121054	0.157783
1.570000	2.126114	0.142584	2.126114	0.142584
1.580000	2.115993	0.162849	2.115993	0.162849
1.590000	2.121054	0.137518	2.121054	0.137518
1.600000	2.115993	0.162849	2.115993	0.162849
1.610000	2.121054	0.142584	2.121054	0.142584
1.620000	2.121054	0.162849	2.121054	0.162849
1.630000	2.121054	0.142584	2.121054	0.142584
1.640000	2.121054	0.162849	2.121054	0.162849
1.650000	2.121054	0.142584	2.121054	0.142584
1.660000	2.121054	0.167915	2.121054	0.167915
1.670000	2.121054	0.142584	2.121054	0.142584
1.680000	2.121054	0.167915	2.121054	0.167915
1.690000	2.121054	0.147651	2.121054	0.147651
1.700000	2.121054	0.167915	2.121054	0.167915
1.710000	2.121054	0.147651	2.121054	0.147651
1.720000	2.121054	0.167915	2.121054	0.167915
1.730000	2.121054	0.147651	2.121054	0.147651
1.740000	2.121054	0.167915	2.121054	0.167915
1.750000	2.126114	0.147651	2.126114	0.147651
1.760000	2.121054	0.162849	2.121054	0.162849
1.770000	2.121054	0.142584	2.121054	0.142584
1.780000	2.121054	0.162849	2.121054	0.162849
1.790000	2.126114	0.142584	2.126114	0.142584
1.800000	2.121054	0.162849	2.121054	0.162849
1.810000	2.126114	0.142584	2.126114	0.142584
1.820000	2.126114	0.162849	2.126114	0.162849
1.830000	2.121054	0.137518	2.121054	0.137518
1.840000	2.121054	0.157783	2.121054	0.157783
1.850000	2.121054	0.122320	2.121054	0.122320
1.860000	2.121054	0.127386	2.121054	0.127386
1.870000	2.121054	0.076724	2.121054	0.076724
1.880000	2.121054	0.061526	2.121054	0.061526
1.890000	2.121054	-0.014466	2.121054	-0.014466
1.900000	2.115993	-0.075260	2.115993	-0.075260
1.910000	2.110933	-0.206980	2.110933	-0.206980
1.920000	2.110933	-0.313370	2.110933	-0.313370
1.930000	2.110933	-0.450156	2.110933	-0.450156
1.940000	2.105872	-0.505884	2.105872	-0.505884
1.950000	2.105872	-0.586942	2.105872	-0.586942
1.960000	2.105872	-0.597074	2.105872	-0.597074
1.970000	2.105872	-0.632538	2.105872	-0.632538
1.980000	2.105872	-0.602141	2.105872	-0.602141
1.990000	2.100812	-0.602141	2.100812	-0.602141
2.000000	2.105872	-0.531214	2.105872	-0.531214
2.010000	2.105872	-0.531214	2.105872	-0.531214
2.020000	2.105872	-0.480553	2.105872	-0.480553
2.030000	2.105872	-0.465354	2.105872	-0.465354
2.040000	2.110933	-0.409627	2.110933	-0.409627
2.050000	2.110933	-0.394428	2.110933	-0.394428
2.060000	2.110933	-0.328568	2.110933	-0.328568
2.070000	2.110933	-0.313370	2.110933	-0.313370
2.080000	2.110933	-0.252576	2.110933	-0.252576
2.090000	2.110933	-0.227245	2.110933	-0.227245
2.100000	2.110933	-0.181650	2.110933	-0.181650
2.110000	2.110933	-0.171517	2.110933	-0.171517
2.120000	2.110933	-0.120856	2.110933	-0.120856
2.130000	2.110933	-0.120856	2.110933	-0.120856
2.140000	2.115993	-0.075260	2.115993	-0.075260
2.150000	2.110933	-0.080327	2.110933	-0.080327
2.160000	2.115993	-0.039797	2.115993	-0.039797
2.170000	2.115993	-0.054996	2.115993	-0.054996
2.180000	2.110933	-0.019533	2.110933	-0.019533
2.190000	2.115993	-0.034731	2.115993	-0.034731
2.200000	2.115993	-0.004334	2.115993	-0.004334
2.210000	2.115993	-0.019533	2.115993	-0.019533
2.220000	2.115993	0.010864	2.115993	0.010864
2.230000	2.115993	-0.004334	2.115993	-0.004334
2.240000	2.115993	0.020997	2.115993	0.020997
2.250000	2.115993	0.010864	2.115993	0.010864
2.260000	2.115993	0.036195	2.115993	0.036195
2.270000	2.115993	0.020997	2.115993	0.020997
2.280000	2.115993	0.056460	2.115993	0.056460
2.290000	2.115993	0.036195	2.115993	0.036195
2.300000	2.115993	0.071658	2.115993	0.071658
2.310000	2.121054	0.051394	2.121054	0.051394
2.320000	2.121054	0.091923	2.121054	0.091923
2.330000	2.115993	0.066592	2.115993	0.066592
2.340000	2.121054	0.112187	2.121054	0.112187
2.350000	2.115993	0.091923	2.115993	0.091923
2.360000	2.121054	0.122320	2.121054	0.122320
2.370000	2.121054	0.107121	2.121054	0.107121
2.380000	2.115993	0.122320	2.115993	0.122320
2.390000	2.121054	0.112187	2.121054	0.112187
2.400000	2.121054	0.132452	2.121054	0.132452
2.410000	2.121054	0.112187	2.121054	0.112187
2.420000	2.121054	0.132452	2.121054	0.132452
2.430000	2.121054	0.117254	2.121054	0.117254
2.440000	2.121054	0.137518	2.121054	0.137518
2.450000	2.121054	0.122320	2.121054	0.122320
2.460000	2.121054	0.137518	2.121054	0.137518
2.470000	2.115993	0.122320	2.115993	0.122320
2.480000	2.121054	0.142584	2.121054	0.142584
2.490000	2.115993	0.122320	2.115993	0.122320
2.500000	2.121054	0.152717	2.121054	0.152717
2.510000	2.121054	0.122320	2.121054	0.122320
2.520000	2.121054	0.142584	2.121054	0.142584
2.530000	2.121054	0.122320	2.121054	0.122320
2.540000	2.121054	0.147651	2.121054	0.147651
2.550000	2.121054	0.122320	2.121054	0.122320
2.560000	2.121054	0.147651	2.121054	0.147651
2.570000	2.121054	0.127386	2.121054	0.127386
2.580000	2.121054	0.147651	2.121054	0.147651
2.590000	2.121054	0.122320	2.121054	0.122320
2.600000	2.121054	0.142584	2.121054	0.142584
2.610000	2.121054	0.127386	2.121054	0.127386
2.620000	2.121054	0.147651	2.121054	0.147651
2.630000	2.121054	0.122320	2.121054	0.122320
2.640000	2.121054	0.147651	2.121054	0.147651
2.650000	2.121054	0.127386	2.121054	0.127386
2.660000	2.126114	0.147651	2.126114	0.147651
2.670000	2.121054	0.127386	2.121054	0.127386
2.680000	2.121054	0.147651	2.121054	0.147651
2.690000	2.121054	0.127386	2.121054	0.127386
2.700000	2.121054	0.147651	2.121054	0.147651
2.710000	2.121054	0.132452	2.121054	0.132452
2.720000	2.121054	0.157783	2.121054	0.157783
2.730000	2.121054	0.132452	2.121054	0.132452
2.740000	2.121054	0.157783	2.121054	0.157783
2.750000	2.126114	0.137518	2.126114	0.137518
2.760000	2.126114	0.157783	2.126114	0.157783
2.770000	2.126114	0.137518	2.126114	0.137518
2.780000	2.126114	0.162849	2.126114	0.162849
2.790000	2.126114	0.137518	2.126114	0.137518
2.800000	2.126114	0.157783	2.126114	0.157783
2.810000	2.126114	0.137518	2.126114	0.137518
2.820000	2.121054	0.162849	2.121054	0.162849
2.830000	2.121054	0.137518	2.121054	0.137518
2.840000	2.121054	0.167915	2.121054	0.167915
2.850000	2.126114	0.147651	2.126114	0.147651
2.860000	2.121054	0.167915	2.121054	0.167915
2.870000	2.121054	0.147651	2.121054	0.147651
2.880000	2.126114	0.167915	2.126114	0.167915
2.890000	2.126114	0.152717	2.126114	0.152717
2.900000	2.121054	0.172981	2.121054	0.172981
2.910000	2.126114	0.147651	2.126114	0.147651
2.920000	2.126114	0.172981	2.126114	0.172981
2.930000	2.126114	0.147651	2.126114	0.147651
2.940000	2.126114	0.172981	2.126114	0.172981
2.950000	2.121054	0.147651	2.121054	0.147651
2.960000	2.126114	0.167915	2.126114	0.167915
2.970000	2.126114	0.147651	2.126114	0.147651
2.980000	2.121054	0.172981	2.121054	0.172981
2.990000	2.121054	0.142584	2.121054	0.142584
3.000000	2.126114	0.157783	2.126114	0.157783
3.010000	2.126114	0.117254	2.126114	0.117254
3.020000	2.121054	0.117254	2.121054	0.117254
3.030000	2.126114	0.046327	2.126114	0.046327
3.040000	2.121054	0.005798	2.121054	0.005798
3.050000	2.121054	-0.100591	2.121054	-0.100591
3.060000	2.115993	-0.186716	2.115993	-0.186716
3.070000	2.110933	-0.313370	2.110933	-0.313370
3.080000	2.110933	-0.379230	2.110933	-0.379230
3.090000	2.115993	-0.455222	2.115993	-0.455222
3.100000	2.110933	-0.470421	2.110933	-0.470421
3.110000	2.110933	-0.495751	2.110933	-0.495751
3.120000	2.110933	-0.470421	2.110933	-0.470421
3.130000	2.115993	-0.475487	2.115993	-0.475487
3.140000	2.110933	-0.419759	2.110933	-0.419759
3.150000	2.115993	-0.409627	2.115993	-0.409627
3.160000	2.110933	-0.348833	2.110933	-0.348833
3.170000	2.115993	-0.333634	2.115993	-0.333634
3.180000	2.110933	-0.272840	2.110933	-0.272840
3.190000	2.115993	-0.262708	2.115993	-0.262708
3.200000	2.115993	-0.196848	2.115993	-0.196848
3.210000	2.115993	-0.191782	2.115993	-0.191782
3.220000	2.121054	-0.136054	2.121054	-0.136054
3.230000	2.121054	-0.130988	2.121054	-0.130988
3.240000	2.121054	-0.075260	2.121054	-0.075260
3.250000	2.115993	-0.075260	2.115993	-0.075260
3.260000	2.121054	-0.039797	2.121054	-0.039797
3.270000	2.121054	-0.044863	2.121054	-0.044863
3.280000	2.121054	-0.009400	2.121054	-0.009400
3.290000	2.121054	-0.019533	2.121054	-0.019533
3.300000	2.121054	0.005798	2.121054	0.005798
3.310000	2.121054	-0.009400	2.121054	-0.009400
3.320000	2.121054	0.020997	2.121054	0.020997
3.330000	2.121054	0.000732	2.121054	0.000732
3.340000	2.121054	0.026063	2.121054	0.026063
3.350000	2.121054	0.005798	2.121054	0.005798
3.360000	2.121054	0.031129	2.121054	0.031129
3.370000	2.121054	0.015930	2.121054	0.015930
3.380000	2.121054	0.041261	2.121054	0.041261
3.390000	2.121054	0.020997	2.121054	0.020997
3.400000	2.121054	0.051394	2.121054	0.051394
3.410000	2.121054	0.031129	2.121054	0.031129
3.420000	2.121054	0.066592	2.121054	0.066592
3.430000	2.121054	0.046327	2.121054	0.046327
3.440000	2.121054	0.081790	2.121054	0.081790
3.450000	2.126114	0.051394	2.126114	0.051394
3.460000	2.126114	0.091923	2.126114	0.091923
3.470000	2.115993	0.071658	2.115993	0.071658
3.480000	2.126114	0.112187	2.126114	0.112187
3.490000	2.121054	0.081790	2.121054	0.081790
3.500000	2.121054	0.117254	2.121054	0.117254
3.510000	2.121054	0.091923	2.121054	0.091923
3.520000	2.121054	0.117254	2.121054	0.117254
3.530000	2.121054	0.102055	2.121054	0.102055
3.540000	2.121054	0.122320	2.121054	0.122320
3.550000	2.126114	0.107121	2.126114	0.107121
3.560000	2.121054	0.122320	2.121054	0.122320
3.570000	2.126114	0.107121	2.126114	0.107121
3.580000	2.121054	0.122320	2.121054	0.122320
3.590000	2.126114	0.117254	2.126114	0.117254
3.600000	2.121054	0.132452	2.121054	0.132452
3.610000	2.126114	0.117254	2.126114	0.117254
3.620000	2.121054	0.137518	2.121054	0.137518
3.630000	2.126114	0.117254	2.126114	0.117254
3.640000	2.126114	0.132452	2.126114	0.132452
3.650000	2.126114	0.117254	2.126114	0.117254
3.660000	2.121054	0.137518	2.121054	0.137518
3.670000	2.126114	0.117254	2.126114	0.117254
3.680000	2.121054	0.137518	2.121054	0.137518
3.690000	2.121054	0.117254	2.121054	0.117254
3.700000	2.126114	0.137518	2.126114	0.137518
3.710000	2.126114	0.117254	2.126114	0.117254
3.720000	2.126114	0.142584	2.126114	0.142584
3.730000	2.126114	0.122320	2.126114	0.122320
3.740000	2.121054	0.142584	2.121054	0.142584
3.750000	2.126114	0.127386	2.126114	0.127386
3.760000	2.126114	0.142584	2.126114	0.142584
3.770000	2.126114	0.127386	2.126114	0.127386
3.780000	2.126114	0.152717	2.126114	0.152717
3.790000	2.126114	0.132452	2.126114	0.132452
3.800000	2.126114	0.162849	2.126114	0.162849
3.810000	2.121054	0.142584	2.121054	0.142584
3.820000	2.126114	0.172981	2.126114	0.172981
3.830000	2.126114	0.152717	2.126114	0.152717
3.840000	2.131175	0.178047	2.131175	0.178047
3.850000	2.126114	0.157783	2.126114	0.157783
3.860000	2.126114	0.178047	2.126114	0.178047
3.870000	2.126114	0.152717	2.126114	0.152717
3.880000	2.126114	0.178047	2.126114	0.178047
3.890000	2.126114	0.152717	2.126114	0.152717
3.900000	2.126114	0.172981	2.126114	0.172981
3.910000	2.131175	0.147651	2.131175	0.147651
3.920000	2.126114	0.167915	2.126114	0.167915
3.930000	2.126114	0.147651	2.126114	0.147651
3.940000	2.131175	0.167915	2.131175	0.167915
3.950000	2.131175	0.147651	2.131175	0.147651
3.960000	2.126114	0.172981	2.126114	0.172981
3.970000	2.126114	0.142584	2.126114	0.142584
3.980000	2.126114	0.172981	2.126114	0.172981
3.990000	2.126114	0.137518	2.126114	0.137518
4.000000	2.131175	0.167915	2.131175	0.167915
4.010000	2.126114	0.142584	2.126114	0.142584
4.020000	2.131175	0.167915	2.131175	0.167915
4.030000	2.126114	0.137518	2.126114	0.137518
4.040000	2.126114	0.162849	2.126114	0.162849
4.050000	2.126114	0.137518	2.126114	0.137518
4.060000	2.131175	0.152717	2.131175	0.152717
4.070000	2.131175	0.127386	2.131175	0.127386
4.080000	2.126114	0.157783	2.126114	0.157783
4.090000	2.131175	0.127386	2.131175	0.127386
4.100000	2.126114	0.147651	2.126114	0.147651
4.110000	2.131175	0.127386	2.131175	0.127386
4.120000	2.131175	0.152717	2.131175	0.152717
4.130000	2.131175	0.132452	2.131175	0.132452
4.140000	2.131175	0.152717	2.131175	0.152717
4.150000	2.126114	0.127386	2.126114	0.127386
4.160000	2.126114	0.142584	2.126114	0.142584
4.170000	2.131175	0.117254	2.131175	0.117254
4.180000	2.131175	0.127386	2.131175	0.127386
4.190000	2.131175	0.081790	2.131175	0.081790
4.200000	2.126114	0.081790	2.126114	0.081790
4.210000	2.126114	0.005798	2.126114	0.005798
4.220000	2.121054	-0.034731	2.121054	-0.034731
4.230000	2.126114	-0.156319	2.126114	-0.156319
4.240000	2.121054	-0.232311	2.121054	-0.232311
4.250000	2.115993	-0.369097	2.115993	-0.369097
4.260000	2.115993	-0.424825	2.115993	-0.424825
4.270000	2.115993	-0.510950	2.115993	-0.510950
4.280000	2.115993	-0.521082	2.115993	-0.521082
4.290000	2.115993	-0.556545	2.115993	-0.556545
4.300000	2.115993	-0.531214	2.115993	-0.531214
4.310000	2.115993	-0.536281	2.115993	-0.536281
4.320000	2.115993	-0.505884	2.115993	-0.505884
4.330000	2.110933	-0.505884	2.110933	-0.505884
4.340000	2.115993	-0.460288	2.115993	-0.460288
4.350000	2.115993	-0.455222	2.115993	-0.455222
4.360000	2.115993	-0.409627	2.115993	-0.409627
4.370000	2.115993	-0.404561	2.115993	-0.404561
4.380000	2.110933	-0.348833	2.110933	-0.348833
4.390000	2.115993	-0.338700	2.115993	-0.338700
4.400000	2.121054	-0.277907	2.121054	-0.277907
4.410000	2.115993	-0.272840	2.115993	-0.272840
4.420000	2.121054	-0.201914	2.121054	-0.201914
4.430000	2.121054	-0.201914	2.121054	-0.201914
4.440000	2.126114	-0.151253	2.126114	-0.151253
4.450000	2.115993	-0.146187	2.115993	-0.146187
4.460000	2.121054	-0.095525	2.121054	-0.095525
4.470000	2.121054	-0.100591	2.121054	-0.100591
4.480000	2.121054	-0.060062	2.121054	-0.060062
4.490000	2.115993	-0.075260	2.115993	-0.075260
4.500000	2.121054	-0.039797	2.121054	-0.039797
4.510000	2.121054	-0.060062	2.121054	-0.060062
4.520000	2.121054	-0.034731	2.121054	-0.034731
4.530000	2.121054	-0.044863	2.121054	-0.044863
4.540000	2.121054	-0.019533	2.121054	-0.019533
4.550000	2.121054	-0.044863	2.121054	-0.044863
4.560000	2.121054	-0.009400	2.121054	-0.009400
4.570000	2.126114	-0.029665	2.126114	-0.029665
4.580000	2.121054	0.000732	2.121054	0.000732
4.590000	2.121054	-0.014466	2.121054	-0.014466
4.600000	2.121054	0.015930	2.121054	0.015930
4.610000	2.121054	0.000732	2.121054	0.000732
4.620000	2.126114	0.031129	2.126114	0.031129
4.630000	2.126114	0.015930	2.126114	0.015930
4.640000	2.121054	0.051394	2.121054	0.051394
4.650000	2.121054	0.031129	2.121054	0.031129
4.660000	2.126114	0.066592	2.126114	0.066592
4.670000	2.121054	0.051394	2.121054	0.051394
4.680000	2.126114	0.091923	2.126114	0.091923
4.690000	2.126114	0.061526	2.126114	0.061526
4.700000	2.126114	0.112187	2.126114	0.112187
4.710000	2.121054	0.076724	2.121054	0.076724
4.720000	2.126114	0.112187	2.126114	0.112187
4.730000	2.126114	0.096989	2.126114	0.096989
4.740000	2.126114	0.117254	2.126114	0.117254
4.750000	2.121054	0.102055	2.121054	0.102055
4.760000	2.126114	0.122320	2.126114	0.122320
4.770000	2.126114	0.112187	2.126114	0.112187
4.780000	2.126114	0.122320	2.126114	0.122320
4.790000	2.126114	0.112187	2.126114	0.112187
4.800000	2.126114	0.127386	2.126114	0.127386
4.810000	2.126114	0.112187	2.126114	0.112187
4.820000	2.126114	0.127386	2.126114	0.127386
4.830000	2.131175	0.112187	2.131175	0.112187
4.840000	2.126114	0.132452	2.126114	0.132452
4.850000	2.126114	0.117254	2.126114	0.117254
4.860000	2.126114	0.132452	2.126114	0.132452
4.870000	2.126114	0.117254	2.126114	0.117254
4.880000	2.126114	0.132452	2.126114	0.132452
4.890000	2.126114	0.112187	2.126114	0.112187
4.900000	2.126114	0.132452	2.126114	0.132452
4.910000	2.131175	0.117254	2.131175	0.117254
4.920000	2.131175	0.132452	2.131175	0.132452
4.930000	2.126114	0.117254	2.126114	0.117254
4.940000	2.131175	0.132452	2.131175	0.132452
4.950000	2.131175	0.117254	2.131175	0.117254
4.960000	2.126114	0.137518	2.126114	0.137518
4.970000	2.126114	0.117254	2.126114	0.117254
4.980000	2.126114	0.137518	2.126114	0.137518
4.990000	2.126114	0.117254	2.126114	0.117254
5.000000	2.126114	0.142584	2.126114	0.142584
5.010000	2.126114	0.122320	2.126114	0.122320
5.020000	2.126114	0.142584	2.126114	0.142584
5.030000	2.131175	0.122320	2.131175	0.122320
5.040000	2.126114	0.142584	2.126114	0.142584
5.050000	2.131175	0.122320	2.131175	0.122320
5.060000	2.126114	0.142584	2.126114	0.142584
5.070000	2.131175	0.122320	2.131175	0.122320
5.080000	2.131175	0.147651	2.131175	0.147651
5.090000	2.131175	0.122320	2.131175	0.122320
5.100000	2.126114	0.147651	2.126114	0.147651
