11/6/2018
7:55:59 PM

0, CH+=0, CH-=199, Range=+/-10, y=a
1, CH+=1, CH-=199, Range=+/-10, y=b


Time	v0	v1	y0	y1
0.000000	2.060327	0.411091	2.060327	0.411091
0.010000	2.065388	0.431355	2.065388	0.431355
0.020000	2.065388	0.406024	2.065388	0.406024
0.030000	2.065388	0.426289	2.065388	0.426289
0.040000	2.060327	0.406024	2.060327	0.406024
0.050000	2.060327	0.426289	2.060327	0.426289
0.060000	2.065388	0.400958	2.065388	0.400958
0.070000	2.065388	0.426289	2.065388	0.426289
0.080000	2.065388	0.406024	2.065388	0.406024
0.090000	2.060327	0.426289	2.060327	0.426289
0.100000	2.065388	0.395892	2.065388	0.395892
0.110000	2.065388	0.421223	2.065388	0.421223
0.120000	2.065388	0.390826	2.065388	0.390826
0.130000	2.065388	0.406024	2.065388	0.406024
0.140000	2.065388	0.385760	2.065388	0.385760
0.150000	2.065388	0.400958	2.065388	0.400958
0.160000	2.065388	0.375628	2.065388	0.375628
0.170000	2.065388	0.390826	2.065388	0.390826
0.180000	2.065388	0.375628	2.065388	0.375628
0.190000	2.065388	0.385760	2.065388	0.385760
0.200000	2.065388	0.365495	2.065388	0.365495
0.210000	2.065388	0.380694	2.065388	0.380694
0.220000	2.065388	0.360429	2.065388	0.360429
0.230000	2.065388	0.380694	2.065388	0.380694
0.240000	2.065388	0.365495	2.065388	0.365495
0.250000	2.065388	0.385760	2.065388	0.385760
0.260000	2.065388	0.365495	2.065388	0.365495
0.270000	2.065388	0.380694	2.065388	0.380694
0.280000	2.060327	0.360429	2.060327	0.360429
0.290000	2.065388	0.375628	2.065388	0.375628
0.300000	2.065388	0.360429	2.065388	0.360429
0.310000	2.065388	0.375628	2.065388	0.375628
0.320000	2.070448	0.360429	2.070448	0.360429
0.330000	2.065388	0.375628	2.065388	0.375628
0.340000	2.065388	0.355363	2.065388	0.355363
0.350000	2.065388	0.375628	2.065388	0.375628
0.360000	2.065388	0.355363	2.065388	0.355363
0.370000	2.070448	0.370561	2.070448	0.370561
0.380000	2.065388	0.355363	2.065388	0.355363
0.390000	2.065388	0.380694	2.065388	0.380694
0.400000	2.065388	0.360429	2.065388	0.360429
0.410000	2.065388	0.380694	2.065388	0.380694
0.420000	2.065388	0.365495	2.065388	0.365495
0.430000	2.065388	0.375628	2.065388	0.375628
0.440000	2.065388	0.350297	2.065388	0.350297
0.450000	2.070448	0.370561	2.070448	0.370561
0.460000	2.065388	0.360429	2.065388	0.360429
0.470000	2.065388	0.375628	2.065388	0.375628
0.480000	2.065388	0.355363	2.065388	0.355363
0.490000	2.070448	0.370561	2.070448	0.370561
0.500000	2.065388	0.350297	2.065388	0.350297
0.510000	2.070448	0.365495	2.070448	0.365495
0.520000	2.070448	0.345231	2.070448	0.345231
0.530000	2.070448	0.370561	2.070448	0.370561
0.540000	2.070448	0.350297	2.070448	0.350297
0.550000	2.065388	0.360429	2.065388	0.360429
0.560000	2.070448	0.345231	2.070448	0.345231
0.570000	2.070448	0.365495	2.070448	0.365495
0.580000	2.065388	0.355363	2.065388	0.355363
0.590000	2.065388	0.375628	2.065388	0.375628
0.600000	2.065388	0.365495	2.065388	0.365495
0.610000	2.070448	0.380694	2.070448	0.380694
0.620000	2.070448	0.375628	2.070448	0.375628
0.630000	2.070448	0.390826	2.070448	0.390826
0.640000	2.070448	0.380694	2.070448	0.380694
0.650000	2.070448	0.400958	2.070448	0.400958
0.660000	2.070448	0.385760	2.070448	0.385760
0.670000	2.070448	0.406024	2.070448	0.406024
0.680000	2.075509	0.380694	2.075509	0.380694
0.690000	2.070448	0.406024	2.070448	0.406024
0.700000	2.070448	0.380694	2.070448	0.380694
0.710000	2.070448	0.395892	2.070448	0.395892
0.720000	2.070448	0.375628	2.070448	0.375628
0.730000	2.070448	0.390826	2.070448	0.390826
0.740000	2.075509	0.375628	2.075509	0.375628
0.750000	2.075509	0.390826	2.075509	0.390826
0.760000	2.070448	0.365495	2.070448	0.365495
0.770000	2.070448	0.385760	2.070448	0.385760
0.780000	2.070448	0.360429	2.070448	0.360429
0.790000	2.075509	0.370561	2.075509	0.370561
0.800000	2.070448	0.360429	2.070448	0.360429
0.810000	2.070448	0.375628	2.070448	0.375628
0.820000	2.070448	0.355363	2.070448	0.355363
0.830000	2.070448	0.380694	2.070448	0.380694
0.840000	2.070448	0.360429	2.070448	0.360429
0.850000	2.070448	0.375628	2.070448	0.375628
0.860000	2.070448	0.365495	2.070448	0.365495
0.870000	2.075509	0.380694	2.075509	0.380694
0.880000	2.075509	0.360429	2.075509	0.360429
0.890000	2.070448	0.375628	2.070448	0.375628
0.900000	2.075509	0.350297	2.075509	0.350297
0.910000	2.070448	0.375628	2.070448	0.375628
0.920000	2.070448	0.350297	2.070448	0.350297
0.930000	2.075509	0.370561	2.075509	0.370561
0.940000	2.070448	0.355363	2.070448	0.355363
0.950000	2.075509	0.370561	2.075509	0.370561
0.960000	2.075509	0.350297	2.075509	0.350297
0.970000	2.075509	0.365495	2.075509	0.365495
0.980000	2.070448	0.355363	2.070448	0.355363
0.990000	2.075509	0.360429	2.075509	0.360429
1.000000	2.075509	0.345231	2.075509	0.345231
1.010000	2.075509	0.360429	2.075509	0.360429
1.020000	2.075509	0.345231	2.075509	0.345231
1.030000	2.075509	0.360429	2.075509	0.360429
1.040000	2.075509	0.345231	2.075509	0.345231
1.050000	2.075509	0.360429	2.075509	0.360429
1.060000	2.075509	0.350297	2.075509	0.350297
1.070000	2.075509	0.360429	2.075509	0.360429
1.080000	2.075509	0.345231	2.075509	0.345231
1.090000	2.075509	0.360429	2.075509	0.360429
1.100000	2.075509	0.345231	2.075509	0.345231
1.110000	2.075509	0.360429	2.075509	0.360429
1.120000	2.075509	0.340164	2.075509	0.340164
1.130000	2.075509	0.355363	2.075509	0.355363
1.140000	2.080569	0.345231	2.080569	0.345231
1.150000	2.075509	0.350297	2.075509	0.350297
1.160000	2.075509	0.340164	2.075509	0.340164
1.170000	2.075509	0.355363	2.075509	0.355363
1.180000	2.075509	0.335098	2.075509	0.335098
1.190000	2.075509	0.355363	2.075509	0.355363
1.200000	2.080569	0.340164	2.080569	0.340164
1.210000	2.080569	0.355363	2.080569	0.355363
1.220000	2.080569	0.340164	2.080569	0.340164
1.230000	2.080569	0.350297	2.080569	0.350297
1.240000	2.080569	0.335098	2.080569	0.335098
1.250000	2.080569	0.350297	2.080569	0.350297
1.260000	2.080569	0.330032	2.080569	0.330032
1.270000	2.080569	0.345231	2.080569	0.345231
1.280000	2.080569	0.335098	2.080569	0.335098
1.290000	2.075509	0.345231	2.075509	0.345231
1.300000	2.080569	0.330032	2.080569	0.330032
1.310000	2.080569	0.340164	2.080569	0.340164
1.320000	2.075509	0.324966	2.075509	0.324966
1.330000	2.080569	0.335098	2.080569	0.335098
1.340000	2.080569	0.324966	2.080569	0.324966
1.350000	2.080569	0.335098	2.080569	0.335098
1.360000	2.080569	0.324966	2.080569	0.324966
1.370000	2.080569	0.335098	2.080569	0.335098
1.380000	2.075509	0.319900	2.075509	0.319900
1.390000	2.075509	0.330032	2.075509	0.330032
1.400000	2.080569	0.314834	2.080569	0.314834
1.410000	2.080569	0.330032	2.080569	0.330032
1.420000	2.080569	0.319900	2.080569	0.319900
1.430000	2.080569	0.330032	2.080569	0.330032
1.440000	2.085630	0.314834	2.085630	0.314834
1.450000	2.080569	0.330032	2.080569	0.330032
1.460000	2.080569	0.314834	2.080569	0.314834
1.470000	2.080569	0.324966	2.080569	0.324966
1.480000	2.085630	0.309768	2.085630	0.309768
1.490000	2.080569	0.324966	2.080569	0.324966
1.500000	2.080569	0.314834	2.080569	0.314834
1.510000	2.080569	0.319900	2.080569	0.319900
1.520000	2.085630	0.309768	2.085630	0.309768
1.530000	2.085630	0.324966	2.085630	0.324966
1.540000	2.080569	0.304701	2.080569	0.304701
1.550000	2.080569	0.314834	2.080569	0.314834
1.560000	2.080569	0.299635	2.080569	0.299635
1.570000	2.080569	0.309768	2.080569	0.309768
1.580000	2.085630	0.294569	2.085630	0.294569
1.590000	2.080569	0.309768	2.080569	0.309768
1.600000	2.080569	0.294569	2.080569	0.294569
1.610000	2.080569	0.309768	2.080569	0.309768
1.620000	2.080569	0.289503	2.080569	0.289503
1.630000	2.080569	0.304701	2.080569	0.304701
1.640000	2.080569	0.289503	2.080569	0.289503
1.650000	2.085630	0.304701	2.085630	0.304701
1.660000	2.085630	0.289503	2.085630	0.289503
1.670000	2.080569	0.304701	2.080569	0.304701
1.680000	2.090691	0.284437	2.090691	0.284437
1.690000	2.085630	0.299635	2.085630	0.299635
1.700000	2.085630	0.284437	2.085630	0.284437
1.710000	2.085630	0.299635	2.085630	0.299635
1.720000	2.085630	0.284437	2.085630	0.284437
1.730000	2.085630	0.299635	2.085630	0.299635
1.740000	2.085630	0.289503	2.085630	0.289503
1.750000	2.085630	0.309768	2.085630	0.309768
1.760000	2.085630	0.284437	2.085630	0.284437
1.770000	2.085630	0.304701	2.085630	0.304701
1.780000	2.085630	0.289503	2.085630	0.289503
1.790000	2.085630	0.299635	2.085630	0.299635
1.800000	2.085630	0.289503	2.085630	0.289503
1.810000	2.085630	0.299635	2.085630	0.299635
1.820000	2.085630	0.284437	2.085630	0.284437
1.830000	2.090691	0.304701	2.090691	0.304701
1.840000	2.085630	0.284437	2.085630	0.284437
1.850000	2.085630	0.304701	2.085630	0.304701
1.860000	2.090691	0.289503	2.090691	0.289503
1.870000	2.090691	0.304701	2.090691	0.304701
1.880000	2.085630	0.289503	2.085630	0.289503
1.890000	2.090691	0.299635	2.090691	0.299635
1.900000	2.090691	0.289503	2.090691	0.289503
1.910000	2.090691	0.299635	2.090691	0.299635
1.920000	2.085630	0.279371	2.085630	0.279371
1.930000	2.090691	0.294569	2.090691	0.294569
1.940000	2.085630	0.274304	2.085630	0.274304
1.950000	2.085630	0.289503	2.085630	0.289503
