11/6/2018
8:11:00 PM

0, CH+=0, CH-=199, Range=+/-10, y=a
1, CH+=1, CH-=199, Range=+/-10, y=b


Time	v0	v1	y0	y1
0.000000	-0.247268	-0.318436	-0.247268	-0.318436
0.010000	0.071545	-0.313370	0.071545	-0.313370
0.020000	-0.075210	-0.328568	-0.075210	-0.328568
0.030000	0.076605	-0.313370	0.076605	-0.313370
0.040000	-0.237147	-0.343767	-0.237147	-0.343767
0.050000	0.051302	-0.343767	0.051302	-0.343767
0.060000	-0.216905	-0.358965	-0.216905	-0.358965
0.070000	0.020939	-0.353899	0.020939	-0.353899
0.080000	-0.196663	-0.364031	-0.196663	-0.364031
0.090000	0.086726	-0.323502	0.086726	-0.323502
0.100000	-0.171360	-0.318436	-0.171360	-0.318436
0.110000	0.056363	-0.272840	0.056363	-0.272840
0.120000	-0.201723	-0.237377	-0.201723	-0.237377
0.130000	0.010818	-0.201914	0.010818	-0.201914
0.140000	-0.130876	-0.191782	-0.130876	-0.191782
0.150000	0.051302	-0.166451	0.051302	-0.166451
0.160000	-0.196663	-0.171517	-0.196663	-0.171517
0.170000	0.031060	-0.156319	0.031060	-0.156319
0.180000	-0.201723	-0.171517	-0.201723	-0.171517
0.190000	0.177815	-0.151253	0.177815	-0.151253
0.200000	-0.191602	-0.156319	-0.191602	-0.156319
0.210000	0.081666	-0.141120	0.081666	-0.141120
0.220000	-0.181481	-0.146187	-0.181481	-0.146187
0.230000	0.106968	-0.120856	0.106968	-0.120856
0.240000	-0.292813	-0.136054	-0.292813	-0.136054
0.250000	0.122150	-0.120856	0.122150	-0.120856
0.260000	-0.247268	-0.130988	-0.247268	-0.130988
0.270000	0.112029	-0.115790	0.112029	-0.115790
0.280000	-0.201723	-0.125922	-0.201723	-0.125922
0.290000	0.031060	-0.100591	0.031060	-0.100591
0.300000	-0.302934	-0.090459	-0.302934	-0.090459
0.310000	0.076605	-0.065128	0.076605	-0.065128
0.320000	-0.206784	-0.070194	-0.206784	-0.070194
0.330000	0.026000	-0.034731	0.026000	-0.034731
0.340000	-0.201723	-0.044863	-0.201723	-0.044863
0.350000	0.127210	-0.039797	0.127210	-0.039797
0.360000	-0.095453	-0.065128	-0.095453	-0.065128
0.370000	0.106968	-0.060062	0.106968	-0.060062
0.380000	-0.201723	-0.075260	-0.201723	-0.075260
0.390000	0.258784	-0.054996	0.258784	-0.054996
0.400000	-0.161239	-0.060062	-0.161239	-0.060062
0.410000	0.218299	-0.034731	0.218299	-0.034731
0.420000	-0.115695	-0.039797	-0.115695	-0.039797
0.430000	0.177815	-0.019533	0.177815	-0.019533
0.440000	-0.186542	-0.019533	-0.186542	-0.019533
0.450000	0.051302	-0.004334	0.051302	-0.004334
0.460000	-0.171360	-0.009400	-0.171360	-0.009400
0.470000	0.036121	0.020997	0.036121	0.020997
0.480000	-0.191602	0.015930	-0.191602	0.015930
0.490000	0.026000	0.041261	0.026000	0.041261
