11/6/2018
8:07:57 PM

0, CH+=0, CH-=199, Range=+/-10, y=a
1, CH+=1, CH-=199, Range=+/-10, y=b


Time	v0	v1	y0	y1
0.000000	-0.070150	-1.772423	-0.070150	-1.772423
0.010000	-0.060029	-1.782555	-0.060029	-1.782555
0.020000	-0.090392	-1.752158	-0.090392	-1.752158
0.030000	-0.090392	-1.711629	-0.090392	-1.711629
0.040000	-0.075210	-1.640703	-0.075210	-1.640703
0.050000	-0.095453	-1.584975	-0.095453	-1.584975
0.060000	-0.095453	-1.503916	-0.095453	-1.503916
0.070000	-0.075210	-1.453255	-0.075210	-1.453255
0.080000	-0.065089	-1.382329	-0.065089	-1.382329
0.090000	-0.039787	-1.341799	-0.039787	-1.341799
0.100000	-0.044847	-1.291138	-0.044847	-1.291138
0.110000	-0.044847	-1.260741	-0.044847	-1.260741
0.120000	-0.049908	-1.210079	-0.049908	-1.210079
0.130000	-0.039787	-1.179682	-0.039787	-1.179682
0.140000	-0.039787	-1.149286	-0.039787	-1.149286
0.150000	-0.024605	-1.123955	-0.024605	-1.123955
0.160000	-0.034726	-1.078359	-0.034726	-1.078359
0.170000	-0.034726	-1.068227	-0.034726	-1.068227
0.180000	-0.024605	-1.042896	-0.024605	-1.042896
0.190000	-0.044847	-1.042896	-0.044847	-1.042896
0.200000	-0.024605	-1.037830	-0.024605	-1.037830
0.210000	-0.024605	-1.042896	-0.024605	-1.042896
0.220000	-0.039787	-1.042896	-0.039787	-1.042896
0.230000	-0.024605	-1.047962	-0.024605	-1.047962
0.240000	-0.024605	-1.047962	-0.024605	-1.047962
0.250000	-0.029666	-1.047962	-0.029666	-1.047962
0.260000	-0.044847	-1.047962	-0.044847	-1.047962
0.270000	-0.039787	-1.047962	-0.039787	-1.047962
0.280000	-0.039787	-1.027698	-0.039787	-1.027698
0.290000	-0.054968	-1.012499	-0.054968	-1.012499
0.300000	-0.019545	-0.971970	-0.019545	-0.971970
0.310000	-0.029666	-0.946639	-0.029666	-0.946639
0.320000	-0.014484	-0.890912	-0.014484	-0.890912
0.330000	-0.024605	-0.855448	-0.024605	-0.855448
