11/13/2018
7:38:34 PM

0, CH+=0, CH-=199, Range=+/-10, y=a
1, CH+=1, CH-=199, Range=+/-10, y=b
2, CH+=2, CH-=199, Range=+/-10, y=c
3, CH+=3, CH-=199, Range=+/-10, y=d


Time	v0	v1	v2	v3	y0	y1	y2	y3
0.000000	1.756967	2.770528	0.401514	0.517804	1.756967	2.770528	0.401514	0.517804
0.010000	1.751894	2.760386	0.508017	0.548216	1.751894	2.760386	0.508017	0.548216
0.020000	1.751894	2.750243	0.447158	0.365742	1.751894	2.750243	0.447158	0.365742
0.030000	1.751894	2.750243	0.472516	0.294780	1.751894	2.750243	0.472516	0.294780
0.040000	1.762040	2.760386	0.421800	0.360674	1.762040	2.760386	0.421800	0.360674
0.050000	1.756967	2.770528	0.655092	0.639454	1.756967	2.770528	0.655092	0.639454
0.060000	1.756967	2.760386	0.619591	0.543148	1.756967	2.760386	0.619591	0.543148
0.070000	1.756967	2.765457	0.538446	0.548216	1.756967	2.765457	0.538446	0.548216
0.080000	1.756967	2.765457	0.487730	0.512735	1.756967	2.765457	0.487730	0.512735
0.090000	1.756967	2.745171	0.457301	0.254230	1.756967	2.745171	0.457301	0.254230
0.100000	1.756967	2.760386	0.284868	0.269436	1.756967	2.760386	0.284868	0.269436
0.110000	1.751894	2.750243	0.259510	0.162993	1.751894	2.750243	0.259510	0.162993
0.120000	1.756967	2.745171	0.117506	-0.044825	1.756967	2.745171	0.117506	-0.044825
0.130000	1.741748	2.750243	0.122578	0.056550	1.741748	2.750243	0.122578	0.056550
0.140000	1.751894	2.740100	0.071862	-0.212093	1.751894	2.740100	0.071862	-0.212093
0.150000	1.751894	2.745171	-0.039712	-0.201955	1.751894	2.745171	-0.039712	-0.201955
0.160000	1.751894	2.755314	-0.085356	-0.110718	1.751894	2.755314	-0.085356	-0.110718
0.170000	1.736675	2.740100	-0.065070	-0.191818	1.736675	2.740100	-0.065070	-0.191818
0.180000	1.751894	2.740100	-0.247646	-0.262780	1.751894	2.740100	-0.247646	-0.262780
0.190000	1.751894	2.740100	-0.222288	-0.212093	1.751894	2.740100	-0.222288	-0.212093
0.200000	1.756967	2.750243	-0.166501	-0.070168	1.756967	2.750243	-0.166501	-0.070168
0.210000	1.751894	2.760386	-0.024497	0.112306	1.751894	2.760386	-0.024497	0.112306
0.220000	1.751894	2.745171	-0.024497	-0.014412	1.751894	2.745171	-0.024497	-0.014412
0.230000	1.746821	2.750243	-0.105642	-0.014412	1.746821	2.750243	-0.105642	-0.014412
0.240000	1.751894	2.750243	-0.085356	-0.004275	1.751894	2.750243	-0.085356	-0.004275
0.250000	1.741748	2.755314	-0.120857	-0.019481	1.741748	2.755314	-0.120857	-0.019481
0.260000	1.746821	2.745171	-0.110714	-0.090443	1.746821	2.745171	-0.110714	-0.090443
0.270000	1.746821	2.740100	-0.075213	-0.166474	1.746821	2.740100	-0.075213	-0.166474
0.280000	1.756967	2.750243	-0.176644	-0.054962	1.756967	2.750243	-0.176644	-0.054962
0.290000	1.751894	2.755314	0.021147	0.137650	1.751894	2.755314	0.021147	0.137650
0.300000	1.751894	2.755314	-0.085356	0.127512	1.751894	2.755314	-0.085356	0.127512
0.310000	1.751894	2.750243	-0.070141	0.081894	1.751894	2.750243	-0.070141	0.081894
0.320000	1.746821	2.750243	-0.049855	0.092031	1.746821	2.750243	-0.049855	0.092031
0.330000	1.746821	2.735029	-0.059998	-0.125924	1.746821	2.735029	-0.059998	-0.125924
0.340000	1.751894	2.750243	-0.085356	0.041344	1.751894	2.750243	-0.085356	0.041344
0.350000	1.736675	2.745171	-0.029569	0.081894	1.736675	2.745171	-0.029569	0.081894
0.360000	1.756967	2.750243	0.051576	0.092031	1.756967	2.750243	0.051576	0.092031
0.370000	1.746821	2.750243	0.193580	0.183268	1.746821	2.750243	0.193580	0.183268
