11/13/2018
7:36:28 PM

0, CH+=0, CH-=199, Range=+/-10, y=a
1, CH+=1, CH-=199, Range=+/-10, y=b
2, CH+=2, CH-=199, Range=+/-10, y=c
3, CH+=3, CH-=199, Range=+/-10, y=d


Time	v0	v1	v2	v3	y0	y1	y2	y3
0.000000	0.935140	1.781603	0.016075	-0.029618	0.935140	1.781603	0.016075	-0.029618
0.010000	0.955432	1.776532	-0.039712	0.031206	0.955432	1.776532	-0.039712	0.031206
0.020000	1.001089	1.771460	0.224009	0.041344	1.001089	1.771460	0.224009	0.041344
0.030000	1.011235	1.761317	0.036361	-0.019481	1.011235	1.761317	0.036361	-0.019481
0.040000	1.026454	1.761317	-0.054927	-0.141130	1.026454	1.761317	-0.054927	-0.141130
0.050000	1.051819	1.766389	-0.100571	-0.085374	1.051819	1.766389	-0.100571	-0.085374
0.060000	1.097476	1.776532	0.274725	0.005863	1.097476	1.776532	0.274725	0.005863
0.070000	1.112695	1.781603	0.457301	0.208612	1.112695	1.781603	0.457301	0.208612
0.080000	1.102549	1.771460	0.163150	0.264368	1.102549	1.771460	0.163150	0.264368
0.090000	1.122841	1.781603	0.076934	0.284643	1.122841	1.781603	0.076934	0.284643
0.100000	1.138060	1.761317	0.046504	0.147787	1.138060	1.761317	0.046504	0.147787
0.110000	1.148206	1.781603	0.041433	0.173131	1.148206	1.781603	0.041433	0.173131
0.120000	1.168498	1.766389	0.254439	0.188337	1.168498	1.766389	0.254439	0.188337
0.130000	1.173571	1.766389	0.213866	0.117375	1.173571	1.766389	0.213866	0.117375
0.140000	1.193863	1.786674	0.360941	0.178199	1.193863	1.786674	0.360941	0.178199
0.150000	1.209082	1.771460	0.624663	0.325192	1.209082	1.771460	0.624663	0.325192
0.160000	1.209082	1.771460	0.639877	0.173131	1.209082	1.771460	0.639877	0.173131
0.170000	1.219228	1.776532	0.675378	0.188337	1.219228	1.776532	0.675378	0.188337
0.180000	1.224301	1.766389	0.670307	0.183268	1.224301	1.766389	0.670307	0.183268
