9/18/2018
2:44:36 PM

0, CH+=0, CH-=199, Range=+/-10, y=a


Time	v0	y0
0.000000	0.349873	0.349873
0.010000	0.420720	0.420720
0.020000	0.390357	0.390357
0.030000	0.451083	0.451083
0.040000	0.435902	0.435902
0.050000	0.481446	0.481446
0.060000	0.456144	0.456144
0.070000	0.511809	0.511809
0.080000	0.486507	0.486507
0.090000	0.547233	0.547233
0.100000	0.526991	0.526991
0.110000	0.592778	0.592778
0.120000	0.562415	0.562415
0.130000	0.618080	0.618080
0.140000	0.592778	0.592778
0.150000	0.628201	0.628201
0.160000	0.607959	0.607959
0.170000	0.653504	0.653504
0.180000	0.623141	0.623141
0.190000	0.668685	0.668685
0.200000	0.643383	0.643383
0.210000	0.678806	0.678806
0.220000	0.663625	0.663625
0.230000	0.709170	0.709170
0.240000	0.683867	0.683867
0.250000	0.749654	0.749654
0.260000	0.724351	0.724351
0.270000	0.774956	0.774956
0.280000	0.764835	0.764835
0.290000	0.785077	0.785077
0.300000	0.719291	0.719291
0.310000	0.658564	0.658564
0.320000	0.471325	0.471325
0.330000	0.279026	0.279026
0.340000	0.005758	0.005758
0.350000	-0.201723	-0.201723
0.360000	-0.485112	-0.485112
0.370000	-0.662230	-0.662230
0.380000	-0.849469	-0.849469
0.390000	-0.960801	-0.960801
0.400000	-1.067072	-1.067072
0.410000	-1.077193	-1.077193
0.420000	-1.102495	-1.102495
0.430000	-1.056951	-1.056951
0.440000	-1.041769	-1.041769
0.450000	-0.965861	-0.965861
0.460000	-0.935498	-0.935498
0.470000	-0.844409	-0.844409
0.480000	-0.829227	-0.829227
0.490000	-0.778622	-0.778622
0.500000	-0.783683	-0.783683
0.510000	-0.753320	-0.753320
0.520000	-0.768501	-0.768501
0.530000	-0.748259	-0.748259
0.540000	-0.758380	-0.758380
0.550000	-0.717896	-0.717896
0.560000	-0.707775	-0.707775
0.570000	-0.662230	-0.662230
0.580000	-0.652109	-0.652109
0.590000	-0.616686	-0.616686
0.600000	-0.616686	-0.616686
0.610000	-0.596444	-0.596444
0.620000	-0.596444	-0.596444
0.630000	-0.576202	-0.576202
0.640000	-0.581262	-0.581262
0.650000	-0.561020	-0.561020
0.660000	-0.555960	-0.555960
0.670000	-0.535717	-0.535717
0.680000	-0.535717	-0.535717
0.690000	-0.525596	-0.525596
0.700000	-0.520536	-0.520536
0.710000	-0.495233	-0.495233
0.720000	-0.469931	-0.469931
0.730000	-0.439568	-0.439568
0.740000	-0.409205	-0.409205
0.750000	-0.378841	-0.378841
0.760000	-0.338357	-0.338357
0.770000	-0.302934	-0.302934
0.780000	-0.252329	-0.252329
0.790000	-0.201723	-0.201723
0.800000	-0.176421	-0.176421
0.810000	-0.146058	-0.146058
0.820000	-0.105574	-0.105574
0.830000	-0.080271	-0.080271
0.840000	-0.049908	-0.049908
0.850000	-0.029666	-0.029666
0.860000	-0.009424	-0.009424
0.870000	0.005758	0.005758
0.880000	0.020939	0.020939
0.890000	0.031060	0.031060
0.900000	0.046242	0.046242
0.910000	0.051302	0.051302
0.920000	0.081666	0.081666
0.930000	0.081666	0.081666
0.940000	0.106968	0.106968
0.950000	0.117089	0.117089
0.960000	0.127210	0.127210
0.970000	0.132271	0.132271
0.980000	0.152513	0.152513
0.990000	0.162634	0.162634
1.000000	0.177815	0.177815
1.010000	0.192997	0.192997
1.020000	0.213239	0.213239
1.030000	0.218299	0.218299
1.040000	0.238542	0.238542
1.050000	0.243602	0.243602
1.060000	0.263844	0.263844
1.070000	0.268905	0.268905
1.080000	0.294207	0.294207
1.090000	0.304328	0.304328
1.100000	0.334691	0.334691
1.110000	0.344812	0.344812
1.120000	0.365054	0.365054
1.130000	0.365054	0.365054
1.140000	0.390357	0.390357
1.150000	0.380236	0.380236
1.160000	0.410599	0.410599
1.170000	0.400478	0.400478
1.180000	0.435902	0.435902
1.190000	0.435902	0.435902
1.200000	0.451083	0.451083
1.210000	0.446023	0.446023
1.220000	0.466265	0.466265
1.230000	0.456144	0.456144
1.240000	0.486507	0.486507
1.250000	0.491567	0.491567
1.260000	0.532051	0.532051
1.270000	0.526991	0.526991
1.280000	0.542173	0.542173
1.290000	0.466265	0.466265
1.300000	0.359994	0.359994
1.310000	0.157573	0.157573
1.320000	-0.044847	-0.044847
1.330000	-0.302934	-0.302934
1.340000	-0.510415	-0.510415
1.350000	-0.738138	-0.738138
1.360000	-0.900075	-0.900075
1.370000	-1.067072	-1.067072
1.380000	-1.153100	-1.153100
1.390000	-1.244190	-1.244190
1.400000	-1.249250	-1.249250
1.410000	-1.279613	-1.279613
1.420000	-1.234069	-1.234069
1.430000	-1.223948	-1.223948
1.440000	-1.163221	-1.163221
1.450000	-1.148040	-1.148040
1.460000	-1.097435	-1.097435
1.470000	-1.087314	-1.087314
1.480000	-1.036709	-1.036709
1.490000	-1.046830	-1.046830
1.500000	-1.011406	-1.011406
1.510000	-1.026588	-1.026588
1.520000	-0.970922	-0.970922
1.530000	-0.975982	-0.975982
1.540000	-0.915256	-0.915256
1.550000	-0.905135	-0.905135
1.560000	-0.834288	-0.834288
1.570000	-0.824167	-0.824167
1.580000	-0.748259	-0.748259
1.590000	-0.753320	-0.753320
1.600000	-0.682472	-0.682472
1.610000	-0.687533	-0.687533
1.620000	-0.641988	-0.641988
1.630000	-0.657170	-0.657170
1.640000	-0.616686	-0.616686
1.650000	-0.631867	-0.631867
1.660000	-0.586323	-0.586323
1.670000	-0.596444	-0.596444
1.680000	-0.530657	-0.530657
1.690000	-0.540778	-0.540778
1.700000	-0.490173	-0.490173
1.710000	-0.495233	-0.495233
1.720000	-0.424386	-0.424386
1.730000	-0.419326	-0.419326
1.740000	-0.353539	-0.353539
1.750000	-0.343418	-0.343418
1.760000	-0.257389	-0.257389
1.770000	-0.242208	-0.242208
1.780000	-0.166300	-0.166300
1.790000	-0.156179	-0.156179
1.800000	-0.065089	-0.065089
1.810000	-0.060029	-0.060029
1.820000	0.026000	0.026000
1.830000	0.031060	0.031060
1.840000	0.127210	0.127210
1.850000	0.122150	0.122150
1.860000	0.192997	0.192997
1.870000	0.182876	0.182876
1.880000	0.253723	0.253723
1.890000	0.243602	0.243602
1.900000	0.304328	0.304328
1.910000	0.279026	0.279026
1.920000	0.344812	0.344812
1.930000	0.324570	0.324570
1.940000	0.390357	0.390357
1.950000	0.354933	0.354933
1.960000	0.440962	0.440962
1.970000	0.395418	0.395418
1.980000	0.456144	0.456144
1.990000	0.440962	0.440962
2.000000	0.486507	0.486507
2.010000	0.461204	0.461204
2.020000	0.526991	0.526991
2.030000	0.506749	0.506749
2.040000	0.587717	0.587717
2.050000	0.562415	0.562415
2.060000	0.633262	0.633262
2.070000	0.618080	0.618080
2.080000	0.683867	0.683867
2.090000	0.658564	0.658564
2.100000	0.739533	0.739533
2.110000	0.704109	0.704109
2.120000	0.774956	0.774956
2.130000	0.764835	0.764835
2.140000	0.815440	0.815440
2.150000	0.780017	0.780017
2.160000	0.845803	0.845803
2.170000	0.805319	0.805319
2.180000	0.860985	0.860985
2.190000	0.815440	0.815440
2.200000	0.866046	0.866046
2.210000	0.820501	0.820501
2.220000	0.876167	0.876167
2.230000	0.825561	0.825561
2.240000	0.881227	0.881227
2.250000	0.830622	0.830622
2.260000	0.896409	0.896409
2.270000	0.850864	0.850864
2.280000	0.911590	0.911590
2.290000	0.871106	0.871106
2.300000	0.911590	0.911590
2.310000	0.825561	0.825561
2.320000	0.780017	0.780017
2.330000	0.542173	0.542173
2.340000	0.354933	0.354933
2.350000	0.036121	0.036121
2.360000	-0.176421	-0.176421
2.370000	-0.485112	-0.485112
2.380000	-0.662230	-0.662230
2.390000	-0.905135	-0.905135
2.400000	-1.006345	-1.006345
2.410000	-1.168282	-1.168282
2.420000	-1.168282	-1.168282
2.430000	-1.259371	-1.259371
2.440000	-1.173343	-1.173343
2.450000	-1.198645	-1.198645
2.460000	-1.097435	-1.097435
2.470000	-1.082253	-1.082253
2.480000	-0.960801	-0.960801
2.490000	-0.940559	-0.940559
2.500000	-0.824167	-0.824167
2.510000	-0.824167	-0.824167
2.520000	-0.728017	-0.728017
2.530000	-0.758380	-0.758380
2.540000	-0.672351	-0.672351
2.550000	-0.697654	-0.697654
2.560000	-0.616686	-0.616686
2.570000	-0.636928	-0.636928
2.580000	-0.530657	-0.530657
2.590000	-0.561020	-0.561020
2.600000	-0.480052	-0.480052
2.610000	-0.520536	-0.520536
2.620000	-0.454749	-0.454749
2.630000	-0.500294	-0.500294
2.640000	-0.439568	-0.439568
2.650000	-0.500294	-0.500294
2.660000	-0.439568	-0.439568
2.670000	-0.500294	-0.500294
2.680000	-0.434507	-0.434507
2.690000	-0.485112	-0.485112
2.700000	-0.414265	-0.414265
2.710000	-0.459810	-0.459810
2.720000	-0.378841	-0.378841
2.730000	-0.404144	-0.404144
2.740000	-0.307994	-0.307994
2.750000	-0.323176	-0.323176
2.760000	-0.206784	-0.206784
2.770000	-0.216905	-0.216905
2.780000	-0.120755	-0.120755
2.790000	-0.130876	-0.130876
2.800000	-0.024605	-0.024605
2.810000	-0.034726	-0.034726
2.820000	0.076605	0.076605
2.830000	0.056363	0.056363
2.840000	0.162634	0.162634
2.850000	0.142392	0.142392
2.860000	0.238542	0.238542
2.870000	0.213239	0.213239
2.880000	0.299268	0.299268
2.890000	0.268905	0.268905
2.900000	0.365054	0.365054
2.910000	0.329631	0.329631
2.920000	0.430841	0.430841
2.930000	0.370115	0.370115
2.940000	0.461204	0.461204
2.950000	0.425781	0.425781
2.960000	0.491567	0.491567
2.970000	0.456144	0.456144
2.980000	0.537112	0.537112
2.990000	0.496628	0.496628
3.000000	0.592778	0.592778
3.010000	0.542173	0.542173
3.020000	0.628201	0.628201
3.030000	0.582657	0.582657
3.040000	0.663625	0.663625
3.050000	0.623141	0.623141
3.060000	0.709170	0.709170
3.070000	0.663625	0.663625
3.080000	0.759775	0.759775
3.090000	0.704109	0.704109
3.100000	0.790138	0.790138
3.110000	0.759775	0.759775
3.120000	0.825561	0.825561
3.130000	0.780017	0.780017
3.140000	0.855925	0.855925
3.150000	0.805319	0.805319
3.160000	0.886288	0.886288
3.170000	0.830622	0.830622
3.180000	0.906530	0.906530
3.190000	0.850864	0.850864
3.200000	0.926772	0.926772
3.210000	0.881227	0.881227
3.220000	0.962195	0.962195
3.230000	0.911590	0.911590
3.240000	0.992558	0.992558
3.250000	0.931832	0.931832
3.260000	1.002680	1.002680
3.270000	0.896409	0.896409
3.280000	0.850864	0.850864
3.290000	0.602899	0.602899
3.300000	0.420720	0.420720
3.310000	0.061423	0.061423
3.320000	-0.161239	-0.161239
3.330000	-0.500294	-0.500294
3.340000	-0.682472	-0.682472
3.350000	-0.970922	-0.970922
3.360000	-1.077193	-1.077193
3.370000	-1.264432	-1.264432
3.380000	-1.279613	-1.279613
3.390000	-1.380824	-1.380824
3.400000	-1.304916	-1.304916
3.410000	-1.345400	-1.345400
3.420000	-1.213827	-1.213827
3.430000	-1.213827	-1.213827
3.440000	-1.082253	-1.082253
3.450000	-1.072132	-1.072132
3.460000	-0.945619	-0.945619
3.470000	-0.955740	-0.955740
3.480000	-0.839348	-0.839348
3.490000	-0.854530	-0.854530
3.500000	-0.773562	-0.773562
3.510000	-0.803925	-0.803925
3.520000	-0.702714	-0.702714
3.530000	-0.733078	-0.733078
3.540000	-0.626807	-0.626807
3.550000	-0.652109	-0.652109
3.560000	-0.535717	-0.535717
3.570000	-0.586323	-0.586323
3.580000	-0.495233	-0.495233
3.590000	-0.530657	-0.530657
3.600000	-0.474991	-0.474991
3.610000	-0.520536	-0.520536
3.620000	-0.444628	-0.444628
3.630000	-0.495233	-0.495233
3.640000	-0.424386	-0.424386
3.650000	-0.480052	-0.480052
3.660000	-0.399084	-0.399084
3.670000	-0.439568	-0.439568
3.680000	-0.348478	-0.348478
3.690000	-0.383902	-0.383902
3.700000	-0.282692	-0.282692
