9/18/2018
2:41:46 PM

0, CH+=0, CH-=199, Range=+/-10, y=a


Time	v0	y0
0.000000	-0.277631	-0.277631
0.002000	-0.140997	-0.140997
0.004000	-0.004363	-0.004363
0.006000	0.096847	0.096847
0.008000	0.117089	0.117089
0.010000	0.026000	0.026000
0.012000	-0.105574	-0.105574
0.014000	-0.252329	-0.252329
0.016000	-0.353539	-0.353539
0.018000	-0.368720	-0.368720
0.020000	-0.282692	-0.282692
0.022000	-0.140997	-0.140997
0.024000	-0.004363	-0.004363
0.026000	0.096847	0.096847
0.028000	0.117089	0.117089
0.030000	0.020939	0.020939
0.032000	-0.100513	-0.100513
0.034000	-0.232086	-0.232086
0.036000	-0.333297	-0.333297
0.038000	-0.343418	-0.343418
0.040000	-0.267510	-0.267510
0.042000	-0.130876	-0.130876
0.044000	0.000697	0.000697
0.046000	0.106968	0.106968
0.048000	0.112029	0.112029
0.050000	0.026000	0.026000
0.052000	-0.105574	-0.105574
0.054000	-0.252329	-0.252329
0.056000	-0.348478	-0.348478
0.058000	-0.353539	-0.353539
0.060000	-0.257389	-0.257389
0.062000	-0.120755	-0.120755
0.064000	0.026000	0.026000
0.066000	0.122150	0.122150
0.068000	0.122150	0.122150
0.070000	0.026000	0.026000
0.072000	-0.120755	-0.120755
0.074000	-0.262450	-0.262450
0.076000	-0.348478	-0.348478
0.078000	-0.353539	-0.353539
0.080000	-0.237147	-0.237147
0.082000	-0.095453	-0.095453
0.084000	0.041181	0.041181
0.086000	0.132271	0.132271
0.088000	0.132271	0.132271
0.090000	0.026000	0.026000
0.092000	-0.135937	-0.135937
0.094000	-0.287752	-0.287752
0.096000	-0.378841	-0.378841
0.098000	-0.373781	-0.373781
0.100000	-0.267510	-0.267510
0.102000	-0.100513	-0.100513
0.104000	0.051302	0.051302
0.106000	0.142392	0.142392
0.108000	0.142392	0.142392
0.110000	0.031060	0.031060
0.112000	-0.135937	-0.135937
0.114000	-0.292813	-0.292813
0.116000	-0.383902	-0.383902
0.118000	-0.373781	-0.373781
0.120000	-0.252329	-0.252329
0.122000	-0.080271	-0.080271
0.124000	0.076605	0.076605
0.126000	0.157573	0.157573
0.128000	0.142392	0.142392
0.130000	0.010818	0.010818
0.132000	-0.161239	-0.161239
0.134000	-0.333297	-0.333297
0.136000	-0.419326	-0.419326
0.138000	-0.399084	-0.399084
0.140000	-0.262450	-0.262450
0.142000	-0.054968	-0.054968
0.144000	0.122150	0.122150
0.146000	0.208178	0.208178
0.148000	0.182876	0.182876
0.150000	0.041181	0.041181
0.152000	-0.156179	-0.156179
0.154000	-0.343418	-0.343418
0.156000	-0.439568	-0.439568
0.158000	-0.419326	-0.419326
0.160000	-0.267510	-0.267510
0.162000	-0.060029	-0.060029
0.164000	0.122150	0.122150
0.166000	0.198057	0.198057
0.168000	0.177815	0.177815
0.170000	0.026000	0.026000
0.172000	-0.171360	-0.171360
0.174000	-0.358599	-0.358599
0.176000	-0.444628	-0.444628
